RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,Name,Model,Owner
3667,19/04/2013,Branna Industrial & Technical Services Ltd,The Rosti Factory,Wind Onshore,2.2,2.2,1,,Operational,"Middleton Avenue, Strutherhil Industrial Estate, Larkhill, Strathclyde. ML9 2TL",Strathclyde,Scotland,Scotland,,276956,649658,18/02/2013,,,
3670,16/07/2020,Storas Uibhist,Lochcarnan Community Windfarm,Wind Onshore,6.9,2.3,3,,Operational,"Lochcarnan, Isle of South Uist. HS8 5",Western Isles,Scotland,Scotland,,77451,828569,18/02/2013,,,
3671,19/04/2013,Renewable Energy Systems (RES),The Grange Wind Farm,Wind Onshore,14,2,7,,Operational,"Middle Road, Tydd St. Mary, Wisbech, Cambridge",Lincolnshire,East Midlands,England,PE13 5QZ,546300,319200,01/03/2013,,,
3672,04/03/2013,Roy Humphrey Group,Humphrey Group,Wind Onshore,5,2.5,2,,Operational,"Eye Airfield Industrial Estate, Ipswich Road, Brome, Eye, Suffolk, IP23 8AW",Suffolk,Eastern,England,,613107,275558,25/02/2013,,,
3673,18/04/2017,REG Windpower,Rodbaston,Wind Onshore,4,2,2,,Operational,"Rodbaston, Farm Drive, Rodbaston Campus, Stafford",Staffordshire,West Midlands,England,ST19 5PH,392176,311645,15/01/2017,,,
3674,25/03/2015,EDF,Boundary Lane,Wind Onshore,6,2,3,,Operational,"Shotley Quarter, Whittonstall, Nr Consett, Co Durham. DH8 9",County Durham,North East,England,,404708,550336,31/03/2013,,,
3676,25/03/2015,,Nutberry Wind Farm,Wind Onshore,15,2.5,6,,Operational,"Cumberhead, Lesmahagow, Lanark, Strathclyde. ML11 0HN",Strathclyde,Scotland,Scotland,,279021,635662,30/09/2013,,,
3677,23/08/2013,Banks Renewables,Penny Hill Lane,Wind Onshore,19.8,3.3,6,,Operational,"Ulley, Sheffield, South Yorks. S26 3YA",South Yorkshire,Yorkshire and Humber,England,,446825,387627,31/03/2013,,,
3678,28/07/2016,Tobermore Concrete Products,Magherafelt,Wind Onshore,1,1,1,,Operational,"2 Lisnamuck Road, Tobermore, Magherafelt, Co Londonderry. BT45 5QF",Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,101186,551482,12/06/2015,,,
3680,19/04/2013,Ecotricity,The Michelin Tyre Factory - Ballymena,Wind Onshore,4.6,2.3,2,,Operational,"Raceview Road, Broughshane, Woodside Road, Ballymena, Co Antrim. BT42 4J",Co. Antrim,Northern Ireland,Northern Ireland,,130743,561194,25/02/2013,Michelin Tyre Factory,Enercon E70,Ecotricity
3681,08/10/2013,West Knock Farm,West Knock Wind Cluster,Wind Onshore,2.4,0.8,3,,Operational,"Mintlaw, Stuartfield, Peterhead, Grampian. AB42 5DJ",Grampian,Scotland,Scotland,,398494,844840,04/10/2011,,,
