,RefID,RecordLastUpdated,Operator,SiteName,TechnologyType,InstalledCapacity,TurbineCapacity,No.ofTurbines,HeightofTurbines,DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2087,2576,14/09/2010,Vestas,Cemmaes 'C' Wind Farm,Wind Onshore,15.3,0.85,18.0,,Operational,"Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,286800,306000.0,23/02/2002,"(52.63989715423626, -3.6743363711078767)"
2092,2582,04/06/2005,MANWEB Generation Holdings,Llanbabo Wind Farm,Wind Onshore,20.4,2.25,9.0,,Operational,"Llanbabo Wind Farm
Land tp the north of Llyn Alaw
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,236000,387000.0,01/10/1997,"(53.35437569300462, -4.465565943413202)"
2094,2586,18/01/2002,RWE npower,Tow Law Wind Farm,Wind Onshore,2.6,0.9,3.0,,Operational,"Tow Law, Crook, County Durham",County Durham,North East,England,,411500,541000.0,30/12/2001,"(54.763803959404896, -1.82280011955212)"
2095,2587,10/06/2009,Border Wind Farms Ltd /AMEC,Kirkheaton Wind Farm,Wind Onshore,1.8,0.6,3.0,,Operational,"West Farm, Kirkheaton, Northumberland",Northumberland,North East,England,,400800,576900.0,22/05/2000,"(55.08653945425545, -1.9890039953830516)"
2097,2591,07/10/2009,Border Windfarm Limited / AMEC,Great Eppleton Wind Farm,Wind Onshore,3.0,0.75,4.0,,Operational,"Great Eppleton Farm
North Lane
Hetton le Hole
Tyne and Wear",Tyne and Wear,North East,England,,436900,548200.0,01/04/1997,"(54.82728530202714, -1.427157596797822)"
2104,2613,30/10/2011,Great Orton Wind Farms (II) Ltd,Great Orton Wind Farm (Extension),Wind Onshore,2.3,0.4,6.0,,Operational,"Great Orton Airfield, near Wiggonby, Carlisle, Cumbria",Cumbria,North West,England,,331300,553400.0,01/02/2000,"(54.87063175305573, -3.072040365864967)"
2105,2617,01/08/2016,The Wind Company,Harlock Hill Wind Farm,Wind Onshore,2.5,0.5,5.0,,Operational,"Harlock Hill Wind Farm, Pennington, Near Ulverston, Cumbria",Cumbria,North West,England,LA12 0,325300,479400.0,01/01/1997,"(54.2048795856387, -3.146715210620486)"
2106,2618,06/05/2009,Wharrels Hill Windfarm Ltd/ National Windpower,Wharrels Hill Wind Farm,Wind Onshore,10.4,1.3,8.0,,Operational,"Wharrels Hill
Bothel
Cumbria",Cumbria,North West,England,,318000,537200.0,07/08/2007,"(54.72308136448613, -3.274644894513002)"
2109,2624,30/10/2011,Windprospect / Windcluster,Siddick Wind Farm,Wind Onshore,4.2,0.6,7.0,,Operational,Siddick Wind Farm Siddick Workington Cumbria,Cumbria,North West,England,,300600,532100.0,01/08/1996,"(54.67412543274539, -3.54295590332423)"
2110,2625,11/04/2011,Windprospect / Windcluster,Oldside Wind Farm,Wind Onshore,5.4,0.6,9.0,,Operational,"Oldside Wind Farm
Workington
Cumbria",Cumbria,North West,England,,299700,530500.0,01/09/1996,"(54.65957358911215, -3.5563570466576917)"
2111,2626,11/04/2011,The Wind Company,Haverigg Extension Wind Farm,Wind Onshore,2.4,0.6,4.0,,Operational,"Kirksanton Airfield
Part of Hemplands Farm
Haverigg
Millom
Cumbria",Cumbria,North West,England,,313700,479500.0,01/07/1998,"(54.20395425770603, -3.3245331577353623)"
2114,2630,26/08/2004,WINDJEN POWER LTD,Blaen Bowi Wind Farm,Wind Onshore,3.9,1.3,3.0,,Operational,"Moelfre Capel Iwan Dyfed, Carmarthenshire",Dyfed,Wales,Wales,,232500,236000.0,30/07/2002,"(51.997111483294475, -4.44125288787443)"
2118,2636,30/10/2011,Micon Wind Turbines (UK) Limited,Parc-Cynog Wind Farm,Wind Onshore,3.6,0.7,5.0,,Operational,"Parc-Cynog Farm
Pendine
Carmarthenshire",Dyfed,Wales,Wales,,225500,209500.0,01/02/2001,"(51.7569301708759, -4.529707539247676)"
2129,2653,03/03/2010,John Laing Environmental Assets Group ,Moel Maelogen A,Wind Onshore,2.6,1.3,2.0,,Operational,"Moel Maelogen
Nr Llanrwst
Conwy
Gwynedd",Gwynedd,Wales,Wales,,284700,361300.0,30/01/2003,"(53.13634185749763, -3.7249756687259965)"
2132,2659,22/04/2009,Powergen Renewables Developments Ltd,Out Newton Wind Farm,Wind Onshore,9.0,1.3,7.0,,Operational,"Southfield Farms
Hull",Humberside,Yorkshire and Humber,England,,538800,421200.0,31/01/2002,"(53.66885367767143, 0.09944618179685724)"
2140,2672,03/06/2013,Brockholes Farm,Brockholes Wind Cluster,Wind Onshore,2.4,0.8,3.0,,Operational,"Brockholes Farm, Grantshouse, Duns, Borders. TD11 3RL",Borders,Scotland,Scotland,,382080,663751.0,18/02/2013,"(55.866597786540794, -2.28790669334554)"
2141,2673,17/10/2011,Falck Renewables,Kilbraur Windfarm Farlary - Extension,Wind Onshore,20.0,2.5,8.0,,Operational,"Dunrobin Glen, Golspie, The Highlands. KW10 6SE",Highland,Scotland,Scotland,,283124,902064.0,01/09/2011,"(57.99238593890469, -3.9786630078937923)"
2142,2674,25/10/2011,Pennant Wind Energy Ventures,Maesgwyn,Wind Onshore,26.0,2.0,13.0,,Operational,"Maesgwyn, Glynneath, Neath, West Glamorgan. SA11",West Glamorgan,Wales,Wales,,285500,205500.0,14/04/2011,"(51.73647561352477, -3.659554358124413)"
2145,2680,19/04/2013,,Spicer Hill Wind Farm,Wind Onshore,6.9,2.3,3.0,,Operational,"34 Spicer Hill, Whitley Road, Penistone, Sheffield, South Yorks. S36 7G",South Yorkshire,Yorkshire and Humber,England,,420500,404500.0,15/02/2013,"(53.53675392350311, -1.6921625095189219)"
2148,2683,13/09/2011,,Ford Motor Company Ltd (Extension),Wind Onshore,2.0,2.0,1.0,,Operational,"Thames Avenue, Dagenham. RM9 6SA",London,London,England,,549268,183277.0,12/08/2011,"(51.52867924072731, 0.15044912222743534)"
2152,2687,20/12/2011,FMC Technologies,FMC Technologies,Wind Onshore,1.5,0.75,2.0,,Operational,"Pitreavie Crescent, Pitreavie Business Park, Dunfermline, KY11 8UT",Fife,Scotland,Scotland,,310010,685787.0,07/12/2011,"(56.05644209370146, -3.446594758719101)"
2156,2691,09/06/2010,Boyndie Wind Farm,Boyndie Airfield Extension,Wind Onshore,2.3,2.3,1.0,,Operational,"Boyndie, Banff, Grampian",Grampian,Scotland,Scotland,AB45 2LR,361206,863606.0,04/01/2010,"(57.66066512820481, -2.651820329224303)"
2159,2694,29/11/2011,M H Leyland Ltd,Blue Gates Farm,Wind Onshore,1.5,1.5,1.0,,Operational,"Colchester Main Road, Alresford, Colchester",Essex,Eastern,England,CO7 8DE,606950,222545.0,01/03/2010,"(51.863089687029024, 1.0042149197587922)"
2160,2695,21/02/2017,Ecotricity / Next Generation,Celcon Blocks Ltd,Wind Onshore,2.0,2.0,1.0,,Operational,"Heck and Pollington Lane, Pollington, Goole, Humbs",Humberside,Yorkshire and Humber,England,DN14 0BA,460597,420445.0,15/04/2016,"(53.67696722478946, -1.0841333714004235)"
2162,2697,28/10/2010,Hammers Hill Energy Ltd,Hammar's Hill,Wind Onshore,4.3,0.9,5.0,,Operational,"Evie, Orkney",Orkney Islands,Scotland,Scotland,,338644,1023698.0,20/09/2010,"(59.09573680130949, -3.072660562513836)"
2169,2704,26/04/2012,FMC Corp UK Ltd,"F M C Land, Pitreavie Business Park",Wind Onshore,1.5,1.5,1.0,,Operational,"Queensferry Road, Pitreavie Crescent, Dunfermline, Fife. KY11 8UD",Fife,Scotland,Scotland,,310145,685510.0,31/10/2011,"(56.05397953994282, -3.4443347551678998)"
2173,2708,09/06/2010,Green Cat Renewables,Strath of Brydock - Extension,Wind Onshore,2.3,1.3,1.0,,Operational,"Strath of Brydock, Alvah, Banff",Grampian,Scotland,Scotland,,365391,859727.0,01/12/2009,"(57.6261666154948, -2.5811300426799524)"
2175,2711,02/10/2018,Scottish Power Renewables,Hare Hill (East Ayrshire),Wind Onshore,13.2,0.66,20.0,,Operational,"New Cumnock, East Ayreshire",Strathclyde,Scotland,Scotland,,265320,609703.0,01/11/2000,"(55.36280437392024, -4.12628273504079)"
2177,2713,05/08/2019,Npower Renewables,Kirkby Moor,Wind Onshore,4.8,0.4,12.0,,Operational,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",Cumbria,North West,England,,326111,485242.0,01/01/1993,"(54.25749079528635, -3.135725255851302)"
2179,2715,24/03/2010,,Bambers II,Wind Onshore,4.6,0.76,6.0,,Operational,"Mile Lane, Mablethorpe, Lincolnshire",Lincolnshire,East Midlands,England,,549195,382820.0,01/11/2006,"(53.32128365495736, 0.23842542978860756)"
2187,2723,05/05/2011,West Coast Energy Ltd/Falck Renewables,Millennium Extension II,Wind Onshore,15.0,2.5,6.0,,Operational,"Millennium Windfarm, on The Achlain and Invergarry amd Aberchalder Estates, Glengarry Invergarry, Inverness-Shire, (nr Glen Moriston, Fort Augustus)",Highland,Scotland,Scotland,,225679,810840.0,01/04/2011,"(57.15522678150692, -4.883641231931057)"
2188,2724,06/08/2010,Private Developer,Cairnmore Farm,Wind Onshore,2.6,0.85,3.0,,Operational, 3km south-east of Rhynie in Aberdeenshire,Grampian,Scotland,Scotland,,351086,825261.0,10/07/2010,"(57.31527780787161, -2.813707882320394)"
2194,2741,22/03/2013,Greenspan Electric St Fergus Ltd,St Fergus Moss Wind Farm,Wind Onshore,6.0,2.0,3.0,,Operational,"Land at St Fergus Moss, St Fergus, Peterhead",Grampian,Scotland,Scotland,,405416,853549.0,18/12/2012,"(57.571979021369685, -1.9111110377729694)"
2195,2742,07/06/2011,Scotrenewables (Scotland) Ltd,"West Hill, Flotta",Wind Onshore,2.0,2.0,1.0,,Operational,"West Hill, Flotta, Orkney",Orkney Islands,Scotland,Scotland,,335252,993820.0,01/07/2010,"(58.82696848842588, -3.123092466785486)"
2197,2747,02/12/2011,Yorkshire Water,Chelker Reservoir (Retention of Turbines),Wind Onshore,1.2,0.3,4.0,,Operational,"Land adjacent to Chelker Reservoir, nr Skipton",North Yorkshire,Yorkshire and Humber,England,,405730,451820.0,01/05/2004,"(53.962432450225165, -1.9141544243898252)"
2204,2757,19/04/2013,,Whitelee Windfarm Extension phase 2,Wind Onshore,109.0,3.0,39.0,,Operational,north of the Irvine Valley on Eaglesham Moor,Strathclyde,Scotland,Scotland,,254220,640867.0,15/01/2013,"(55.63942792702671, -4.317630408823729)"
2205,2758,01/06/2010,Private Developer,Hill of Balquhindachy extension,Wind Onshore,1.7,0.85,2.0,,Operational,"Methlick, Ellon",Grampian,Scotland,Scotland,AB41 7BY,385642,842482.0,09/07/2010,"(57.47237030899301, -2.2410407024189962)"
2219,2776,01/06/2011,Npower Renewables,Taff Ely Wind Farm,Wind Onshore,9.0,0.45,20.0,,Operational,10 kilometres (km) north east of Bridgend,Mid Glamorgan,Wales,Wales,,298574,186630.0,01/10/1993,"(51.56938794911213, -3.4648125546411617)"
2221,2780,04/04/2016,Airvolution Energy,Mossmorran Wind Farm,Wind Onshore,4.6,2.0,2.0,,Operational,"Land At To The West Of Chemical Works, Mossmorran, ",Fife,Scotland,Scotland,,318109,689419.0,01/12/2015,"(56.09052118448165, -3.317698823137985)"
2222,2782,14/09/2011,Private Developer,Courtstone Wind Turbine,Wind Onshore,2.3,2.3,1.0,,Operational,"Methlick
Ellon
AB41 7HH",Grampian,Scotland,Scotland,,384413,833537.0,04/06/2009,"(57.39198093378074, -2.260958354844384)"
2232,2796,19/04/2012,ABO Wind,Lairg Wind Farm,Wind Onshore,7.5,2.5,3.0,,Operational,Land To South Of Toroboll Lairg Highland,Highland,Scotland,Scotland,,261293,903916.0,01/01/2012,"(58.00272971312136, -4.348700172572766)"
2236,2804,03/08/2011,,G24 Innovations Turbine,Wind Onshore,2.3,2.3,1.0,,Operational,"Wentloog Environmental Centre, WENTLOOG AVENUE, WENTLOOG",South Glamorgan,Wales,Wales,,323460,179215.0,12/07/2011,"(51.506661856832416, -3.1042154405538374)"
2242,2822,31/01/2012,Mornflake Oats/ Hamlyns Oats,Mornflake Oats Wind Turbine,Wind Onshore,2.3,2.3,1.0,,Operational,"Cairnton Road
Boyndie
Banff
AB45 2LR",Grampian,Scotland,Scotland,,361543,863513.0,18/01/2012,"(57.65985881039102, -2.646158019570326)"
2246,2830,24/08/2012,Brett Martin Ltd,Wind Turbine 1,Wind Onshore,2.3,2.3,1.0,,Operational,"24 ROUGHFORT ROAD
MALLUSK
NEWTOWNABBEY
BT36 4RB
Northern Ireland",Co. Antrim,Northern Ireland,Northern Ireland,,141041,539963.0,30/05/2011,"(54.68792229157066, -6.019599892141793)"
2247,2839,26/02/2013,Private Developer,Clochnahill Wind Farm,Wind Onshore,5.2,1.3,4.0,,Operational,"Clochnahill, Stonehaven AB39 2XY",Grampian,Scotland,Scotland,,382413,782503.0,20/01/2012,"(56.933475783633654, -2.290609118975368)"
2258,2866,16/08/2013,White Young Green Planning,Ballymena Wind Park Limited,Wind Onshore,4.7,2.35,2.0,,Operational,Michelin Tyre PLC Raceview Road Ballymena BT42 4HZ Northern Ireland,Co. Antrim,Northern Ireland,Northern Ireland,,128574,562072.0,24/01/2013,"(54.87950233874816, -6.2331532155347205)"
2259,2867,16/08/2013,Auquhirie Land Company Ltd,St John Hill,Wind Onshore,7.7,2.5,3.0,,Operational,"St John Hill Windfarm Near Roadside of Kinneff, Stonehaven",Grampian,Scotland,Scotland,AB39 2UE,383502,778054.0,07/03/2013,"(56.89354966900157, -2.272423719013998)"
2262,2875,29/04/2013,TCI Renewables,MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,Wind Onshore,2.0,2.0,1.0,,Operational,"Anglian Water Authority, Creek Road, March, Cambridgeshire PE15 8RY",Cambridgeshire,Eastern,England,,543872,299171.0,01/09/2012,"(52.5713389127916, 0.12147833873308936)"
2268,2888,03/04/2018,Greencoat,Brockaghboy Wind Farm - extension,Wind Onshore,10.0,3.0,4.0,,Operational,west of Dowlins Bridge.  in the townlands of Knockoneill and Dunavenny on the Drumbane Road.  7.5km south of Garvagh,Co. Derry / Londonderry,Northern Ireland,Northern Ireland,,87959,566906.0,01/09/2017,"(54.89911239149278, -6.869208908206868)"
2273,2902,03/11/2010,EDF Energies Nouvelles,Burnfoot Hill,Wind Onshore,26.0,2.0,13.0,,Operational,"Burnfoot Hill, Clackmannanshire",Clackmannanshire,Scotland,Scotland,,290135,703250.0,26/10/2010,"(56.2091107136808, -3.772784836838865)"
2286,2921,06/07/2009,Yorkshire Water,Chelker Reservoir,Wind Onshore,1.3,0.3,4.0,,Operational,"Land adjacent to Chelker Reservoir, nr Skipton",North Yorkshire,Yorkshire and Humber,England,,405730,451820.0,01/06/1992,"(53.962432450225165, -1.9141544243898252)"
2287,2922,09/06/2010,Green Cat Renewables,Strath of Brydock,Wind Onshore,4.6,1.3,2.0,,Operational,"Strath of Brydock
Alvah
Banff",Grampian,Scotland,Scotland,,365391,859727.0,01/06/2009,"(57.6261666154948, -2.5811300426799524)"
2288,2923,28/10/2010,Green Cat Renewables,House O'Hill,Wind Onshore,5.0,1.67,3.0,,Operational,"Land Around House O'Hill
Fraserburgh",Grampian,Scotland,Scotland,,397560,859107.0,04/10/2010,"(57.62192684941733, -2.0425087459832443)"
2291,2927,29/07/2010,EF Energy,Owenreagh Extension,Wind Onshore,5.1,0.85,6.0,,Operational,"Land near Craignagapple 10km South East of Strabane, County Tyrone",Co. Tyrone,Northern Ireland,Northern Ireland,,57401,558796.0,01/08/2008,"(54.80655389575144, -7.334086360393337)"
2292,2928,16/08/2012,Munich Re (previously Wind Prospect),Bagmoor,Wind Onshore,16.0,2.0,8.0,,Operational,2km East of Flixborough,Humberside,Yorkshire and Humber,England,,488240,415400.0,01/07/2009,"(53.62770469743423, -0.667197547311694)"
2296,2932,04/12/2009,Croda Chemicals,Croda Chemicals Europe,Wind Onshore,3.0,3.0,1.0,,Operational,"Croda International Plc
Cowick Hall
Snaith
Goole
East Yorkshire
DN14 9AA",Humberside,Yorkshire and Humber,England,,465670,421110.0,01/10/2008,"(53.682331785794624, -1.0072078519179988)"
2298,2935,23/10/2009,,"Eastman Chemicals, Workington",Wind Onshore,4.0,2.0,2.0,,Operational,"Eastman Chemical Workington Ltd, Siddick, Workington, Cumbria, CA14 1LG",Cumbria,North West,England,,300775,531765.0,01/10/2006,"(54.67115052115698, -3.5401292655799357)"
2301,2938,07/12/2010,Npower Renewables,Lindhurst Wind Farm,Wind Onshore,15.0,3.0,5.0,,Operational,"Lindhurst, South of Mansfield",Nottinghamshire,East Midlands,England,,456880,358150.0,04/11/2010,"(53.11750394907149, -1.1516018770680359)"
2302,2940,09/06/2010,Scotia Wind Ltd,Craigengelt,Wind Onshore,20.0,2.5,8.0,,Operational,"Craigengelt Hill, Stirling",Stirling,Scotland,Scotland,,272451,686495.0,31/03/2010,"(56.054258984983456, -4.049664544324681)"
2304,2942,09/06/2010,Yorkshire Water,Saltend Wind Turbine,Wind Onshore,1.3,1.3,1.0,,Operational,"Hull Waste Water Treatment Works, Hull Road, Saltend, Hull, HU12",Humberside,Yorkshire and Humber,England,,516400,429000.0,01/11/2007,"(53.74438961932675, -0.23648631346618368)"
2305,2943,23/08/2017,Yorkshire Water,Loftsome Bridge,Wind Onshore,1.3,1.0,2.0,,Operational,"Loftsome Bridge Water Treatment Works, Water Treatment Works Acc Rd, Barmby On The Marsh, East Riding Of Yorkshire, DN14 6ET",Humberside,Yorkshire and Humber,England,,470140,429460.0,01/02/2008,"(53.7567894553715, -0.937653739872159)"
2306,2944,23/10/2009,Nissan Manufacturing UK,Nissan Wind Farm,Wind Onshore,4.0,0.66,6.0,,Operational,"Nissan plant, Sunderland",Tyne and Wear,North East,England,,433385,557810.0,01/11/2005,"(54.913886254360484, -1.480759663563157)"
2312,2950,02/11/2017,Nuon,Parc Cynog Extension,Wind Onshore,8.4,1.3,6.0,,Operational,"Parc Cynog, Pendine, Carms",Dyfed,Wales,Wales,,225230,209760.0,01/11/2009,"(51.759181334099615, -4.533746209118317)"
2314,2952,06/05/2009,Fenpower Limited,Ranson Moor (phase 1),Wind Onshore,6.0,2.0,3.0,,Operational,"Land North of ransonmoor Farm 
Benwick Road
Doddington
Cambs, Cambridgeshire, PE15 0TY",Cambridgeshire,Eastern,England,,537950,292470.0,01/05/2007,"(52.51266841490863, 0.031375390366434774)"
2315,2953,04/06/2018,EcoGen Projects / Fenpower,Ranson Moor Wind Farm (Phase 2),Wind Onshore,4.0,2.0,2.0,,Operational,"Land North East Of Ransonmoor Farm
Benwick Road
Doddington
March
Cambridgeshire, PE15 0TY",Cambridgeshire,Eastern,England,,538360,292250.0,01/05/2007,"(52.51058807537479, 0.03732149771947049)"
2317,2955,29/12/2014,ESBI,West Durham Wind Farm,Wind Onshore,24.0,2.0,12.0,,Operational,"Land to the north of Tow Law, Co Durham",County Durham,North East,England,,412000,541000.0,01/05/2009,"(54.7637923770497, -1.8150296284293705)"
2318,2956,09/06/2010,Renewable Energy Systems (RES),Dyffryn Brodyn Wind Farm,Wind Onshore,5.5,0.5,11.0,,Operational,"Dyffryn Brodyn Wind Farm, near Llanboidy, north of St Clears",Dyfed,Wales,Wales,,221900,226800.0,01/12/1994,"(51.91118129423402, -4.59071869910124)"
2327,2965,05/10/2009,Green Cat Renewables,North Red Bog,Wind Onshore,1.6,0.8,2.0,,Operational,"North Redbog
Strichen
Aberdeenshire
AB43 6RQ",Grampian,Scotland,Scotland,,399555,855289.0,23/06/2008,"(57.58763911649669, -2.0091011320786665)"
2329,2968,04/12/2017,Gravis Capital Management,Milton Keynes Wind Farm,Wind Onshore,14.0,2.0,7.0,,Operational,"Petsoe Manor Farm, Near Emberton",Buckinghamshire,South East,England,,490000,249090.0,25/09/2010,"(52.13279375584073, -0.6865442553900047)"
2338,2983,21/05/2010,,Broom Hill Farm,Wind Onshore,8.0,2.0,4.0,,Operational,"Broom Hill Farm
Wolsingham Road
Stanley
Crook
Durham",County Durham,North East,England,,415500,539500.0,16/02/2009,"(54.75021770752182, -1.7607157869510484)"
2341,2986,04/12/2017,Gravis Capital Management,Winscales Moor,Wind Onshore,6.0,0.85,7.0,,Operational,Winscales Moor,Cumbria,North West,England,,303500,528500.0,01/05/2009,"(54.64234879506042, -3.496812017318083)"
2342,2988,13/09/2011,SLP Energy,Wind Farm Africa Alive,Wind Onshore,4.1,2.05,2.0,,Operational,"Whites Lane
Kessingland
Lowestoft
Suffolk
NR33 7T",Suffolk,Eastern,England,,651905,286095.0,01/06/2011,"(52.414794414327524, 1.7028337891847316)"
2345,2991,04/04/2018,Midefearn Renewables,Beinn Tharsuinn Extension (Beinn nan Oighrean),Wind Onshore,4.6,2.3,2.0,,Operational,"Beinn Tharsuinn Wind Farm, Edderton, Highland.",Highland,Scotland,Scotland,,266440,879840.0,01/07/2009,"(57.788225350794974, -4.248151114965529)"
2350,2999,21/05/2010,Green Cat Renewables,St John's Well,Wind Onshore,2.4,0.8,3.0,,Operational,"St John's Wells
Fyvie
Formartine
Aberdeenshire",Grampian,Scotland,Scotland,,380570,837410.0,15/07/2009,"(57.42662130838494, -2.325199031294778)"
2352,3002,15/03/2012,Npower Renewables,Hellrigg Wind farm,Wind Onshore,9.2,2.5,4.0,,Operational,"Park Head Farm
Silloth
Carlisle",Cumbria,North West,England,,313585,551775.0,14/09/2011,"(54.85328300004429, -3.34751981641078)"
2360,3015,03/10/2018,Innogy,Bryn titli Windfarm,Wind Onshore,9.9,0.45,22.0,,Operational,"Bryntitli Platuae, North of Rhayader
Powys",Powys,Wales,Wales,,293500,275500.0,01/06/1994,"(52.36716539194247, -3.5655918862422205)"
2362,3019,09/02/2011,Good Energy Generation,Delabole (Repowering),Wind Onshore,9.2,2.3,4.0,,Operational,"Delebole
North Cornwall",Cornwall,South West,England,,208800,85500.0,01/02/2011,"(50.63775081882996, -4.705305755671466)"
2363,3021,04/07/2012,REG Windpower (previously Cornwall Light and Power),Whittlesey,Wind Onshore,9.0,3.0,3.0,,Operational,"McCain's Food, Funtham's Lane, Whittlesey, Peterborough",Cambridgeshire,Eastern,England,PE7 2PG,524027,297139.0,03/09/2008,"(52.557963260537726, -0.17192981168450813)"
2369,3028,28/07/2009,,Advanced Manufacturing Research Centre,Wind Onshore,2.6,1.3,2.0,,Operational,"Advanced Manufacturing Park
Wallis Way
Catcliffe
Rotherham
S60 5TZ",South Yorkshire,Yorkshire and Humber,England,,441475,388039.0,20/01/2009,"(53.38757093000023, -1.3778688501191017)"
2374,3034,08/10/2013,Solutia / Vestas,Solutia UK Ltd,Wind Onshore,5.0,2.5,2.0,,Operational,"Traston Road, Newport, South Wales",Gwent,Wales,Wales,NP14 4XF,333375,185740.0,17/12/2009,"(51.56658052283794, -2.962615943630029)"
2385,3050,06/04/2011,Hallam Land Management,High Haswell Wind Farm,Wind Onshore,4.0,2.0,2.0,,Operational,"Colliery Farm, Green Lane, High Haswell",County Durham,North East,England,,436675,543772.0,10/03/2011,"(54.78751176993898, -1.431218530952517)"
2392,3057,04/12/2009,CELTPOWER LTD,Llandinam Windfarm,Wind Onshore,31.0,0.3,103.0,,Operational,10km south of Newtown,Powys,Wales,Wales,,302840,283645.0,01/01/1993,"(52.44210427343273, -3.430830875703433)"
2396,3061,04/07/2012,REG Windpower (previously  Cornwall Light & Power),Goonhilly Downs Wind Farm Repower,Wind Onshore,12.0,2.0,6.0,,Operational,"Goonhilly Downs Wind Farm, Bonython Manor, Cury Cross Lanes, Helston, Cornwall, TR12 7BA",Cornwall,South West,England,,171000,21600.0,01/11/2010,"(50.05036214700748, -5.200212607969071)"
2402,3068,09/02/2011,,MSD Cramlington,Wind Onshore,4.0,2.0,2.0,,Operational,"Shotton Lane, Cramlington, Northumberland, NE23 3JU",Northumberland,North East,England,,424206,578852.0,20/01/2011,"(55.103495580389456, -1.6221658892428976)"
2408,3075,21/05/2010,Private Developer,Skelmonae Wind Farm,Wind Onshore,3.2,0.9,4.0,,Operational,"Skelmonae
Methlick
Ellon
AB41 7JR",Grampian,Scotland,Scotland,,388702,836734.0,20/12/2009,"(57.42082601570199, -2.1897543231400567)"
2410,3077,01/06/2009,,Carn Vean,Wind Onshore,10.0,2.0,5.0,,Operational,"Carn Vean, Tretheague Mill, Stithians, Truro, Cornwall",Cornwall,South West,England,TR3 7BY,172528,35961.0,30/10/2008,"(50.1799060805921, -5.187462212879329)"
2411,3078,06/12/2010,Dewlay Cheese Company,Dewlay Cheese Wind Turbine,Wind Onshore,2.0,2.0,1.0,,Operational,"Dew Lay Products Limited
Garstang Pass Road, Garstang, Preston PR3 0PR.",Lancashire,North West,England,,348440,443850.0,01/11/2010,"(53.888256096694796, -2.785950368138305)"
