no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"22","EA","ER192013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2019","01/01/2019","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"23","EA","ER192013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2019","01/01/2019","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"24","EA","ER192014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","28/03/2019","28/03/2019","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"25","EA","ER192017124","Glass Other","L","NRS Waste Management Services
Ltd","06730643","Active","01/01/2019","01/01/2019","Birmingham Road COVENTRY WARKS CV7 7JS","R5 Recycling/reclamation of other inorganic materials"
"26","EA","ER192013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2019","01/01/2019","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"27","EA","ER192019109","Glass Other","L","Rock Resource Management Ltd","10739197","Cancelled","01/01/2019","19/12/2019","Unit 1 SCUNTHORPE North Lincolnshire DN15 0DH","R5 Recycling/reclamation of other inorganic materials"
"28","EA","ER192014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/03/2019","27/03/2019","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"29","EA","ER192018128","Glass Other","L","Tetron Welbeck LLP","OC366746","Active","01/01/2019","01/01/2019","Welbeck Colliery Waste facility MEDEN VALE Notts NG20 9PU","R5 Recycling/reclamation of other inorganic materials"
"30","EA","ER192016155","Glass Other","L","Thomas Bros Ltd","04540471","Active","01/01/2019","01/01/2019","Cainhoe Quarry SHEFFORD Bedfordshire SG17 5PJ","R5 Recycling/reclamation of other inorganic materials"
"31","EA","ER192013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2019","01/01/2019","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"32","EA","ER192017128","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2019","01/01/2019","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"33","EA","ER192013113","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2019","01/01/2019","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"34","EA","ER192013119","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2019","01/01/2019","FORD MRF ARUNDEL WEST SUSSEX BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"35","EA","ER192013129","Glass Other","L","Viridor Waste Management Ltd","00575069","Active","01/01/2019","01/01/2019","Crayford Materials Recycling Facility DARTFORD Kent DA1 4HQ","R5 Recycling/reclamation of other inorganic materials"
"36","EA","ER192013164","Glass Other","L","Ward Recycling Limited","4373217","Active","01/01/2019","11/03/2019","Ward Recycling Limited MIDDLESBROUGH Cleveland TS6 6TX","R5 Recycling/reclamation of other inorganic materials"
"37","NRW","WR192013151","Glass Other","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2019","01/01/2019","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"38","NRW","WR192013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2019","01/01/2019","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"39","NIEA","NR192013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2019","01/01/2019","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"40","NIEA","NR192018106","Glass Other","L","RecyCo","NI049526","Active","01/01/2019","01/01/2019","89 Barony Road OMAGH Co Tyrone BT79 7QG","R5 Recycling/reclamation of other inorganic materials"
"41","NIEA","NR192013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2019","01/01/2019","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"42","NIEA","NR192019106","Glass Other","S","Skips R Us","NI604214","Active","23/09/2019","23/09/2019","132a Concession Road NEWRY Down BT35 9JE","R5 Recycling/reclamation of other inorganic materials"
"43","NIEA","NR192016102","Glass Other","L","T&J Recycling T/A Barrett Recycling","NI611006","Active","27/05/2019","27/05/2019","128 Eglish Rd DUNGANNON Tyrone BT701LB","R5 Recycling/reclamation of other inorganic materials"
"44","SEPA","SR192016102","Glass Other","S","Allglass Reprocessors (UK) Limited","SC226505","Active","01/01/2019","01/01/2019","Allglass Reprocessors (UK) Ltd LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"45","SEPA","SR192019101","Glass Other","S","DDH Recycling Ltd","SC610186","Active","22/01/2019","22/01/2019","East Quoys SANDWICK Orkney KW17 2JH","R5 Recycling/reclamation of other inorganic materials"
"46","SEPA","SR192014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Cancelled","01/01/2019","01/02/2020","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"47","SEPA","SR192017103","Glass Other","S","Shetland Precast and Groudworks
Limited","SC556207","Cancelled","01/01/2019","01/02/2021","unit 3 CUNNINGSBURGH shetland ZE2 9HB","R5 Recycling/reclamation of other inorganic materials"
"48","SEPA","SR192019102","Glass Other","L","Soil Treatment Systems Limited","SC451125","Cancelled","20/02/2019","01/02/2020","321 Aikenhead Road GLASGOW G42 0PE","R5 Recycling/reclamation of other inorganic materials"
"49","SEPA","SR192015102","Glass Other","L","Viridor Waste Management Limited","0575069","Cancelled","01/01/2019","01/02/2020","Mossband Farm NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"50","EA","ER192013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2019","01/01/2019","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"51","EA","ER192013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2019","01/01/2019","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"52","EA","ER192013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2019","01/01/2019","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"53","EA","ER192013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2019","01/01/2019","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"54","EA","ER192013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2019","01/01/2019","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"55","EA","ER192015121","Glass Re-melt","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2019","01/01/2019","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"56","EA","ER192013136","Glass Re-melt","S","O-I Glass Ltd","00526983","Active","01/01/2019","01/01/2019","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"57","EA","ER192015106","Glass Re-melt","L","Recresco Ltd (3)","4066165","Active","01/01/2019","01/01/2019","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"58","EA","ER192013163","Glass Re-melt","S","Recycled Glass Company Ltd","4577696","Active","01/01/2019","01/01/2019","Unit 1 HIGHBRIDGE Somerset TA9 4AG","R5 Recycling/reclamation of other inorganic materials"
"59","EA","ER192013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2019","01/01/2019","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"60","EA","ER192016162","Glass Re-melt","L","URM (UK) Ltd t/a Berrymans","4084246","Active","01/01/2019","01/01/2019","BARNBY DUN ROAD DONCASTER SOUTH YORKSHIRE DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"61","EA","ER192015124","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2019","01/01/2019","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"62","EA","ER192017127","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2019","01/01/2019","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"63","EA","ER192016161","Glass Re-melt","L","URM UK Ltd T/A Berrymans","4084246","Active","01/01/2019","01/01/2019","Headlands Lane KNOTTINGLEY WEST YORKSHIRE WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"64","EA","ER192017132","Glass Re-melt","L","Veolia ES (UK) Ltd","02481991","Active","01/01/2019","01/01/2019","Alexandra Warehouse ST HELENS WA10 3LR","R5 Recycling/reclamation of other inorganic materials"
"65","EA","ER192013121","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2019","01/01/2019","Fernley Green Road KNOTTINGLEY West Yorkshire WF11 8DJ","R5 Recycling/reclamation of other inorganic materials"
"66","EA","ER192013122","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2019","01/01/2019","South Accommodation Road LEEDS West Yorkshire LS10 1NQ","R5 Recycling/reclamation of other inorganic materials"
"67","EA","ER192016126","Glass Re-melt","L","Viridor Waste Management Ltd","0575069","Active","01/01/2019","01/01/2019","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"68","NRW","WR192016701","Glass Re-melt","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2019","01/01/2019","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"69","NRW","WR192015701","Glass Re-melt","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2019","01/01/2019","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"70","NIEA","NR192013104","Glass Re-melt","L","Encirc Ltd","NI 30990","Active","01/01/2019","01/01/2019","11 Gortahurk Road DERRYLIN Fermanagh BT92 9DD","R5 Recycling/reclamation of other inorganic materials"
"71","NIEA","NR192019104","Glass Re-melt","L","Enva Northern Ireland Ltd","NI017996","Active","15/04/2019","15/04/2019","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"72","SEPA","SR192016101","Glass Re-melt","S","Allglass Reprocessors (UK) Limited","SC226505","Active","01/01/2019","01/01/2019","Allglass Reprocessors (UK) Ltd LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"73","SEPA","SR192013103","Glass Re-melt","L","Ardagh Glass Ltd","00567801","Cancelled","01/01/2019","01/02/2020","Irvine Plant IRVINE KA12 8JA","R5 Recycling/reclamation of other inorganic materials"
"74","SEPA","SR192014102","Glass Re-melt","L","Dryden Aqua Ltd","SC072700","Cancelled","01/01/2019","01/02/2020","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"75","SEPA","SR192013101","Glass Re-melt","L","O-I Glass Ltd","00526983","Cancelled","01/01/2019","01/02/2020","Glasshouse Loan ALLOA Clackmannanshire FK10 1PD","R5 Recycling/reclamation of other inorganic materials"
"76","SEPA","SR192016103","Glass Re-melt","L","Viridor Waste Management Limited","0575069","Cancelled","01/01/2019","01/02/2020","Mossband Farm NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"77","EA","ER19199864","Paper/board","L","DS Smith Paper Limited","00058614","Active","01/01/2019","01/01/2019","DS SMITH PAPER LTD STTTINGBOURNE KENT ME10 2TD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"78","EA","ER192019102","Paper/board","L","Northwood Tissue (Lancaster) Ltd","8271967","Active","01/01/2019","01/01/2019","Northwood Tissue (Lancaster) Ltd LANCASTER Lancashire LA1 3PQ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"79","EA","ER191998133","Paper/board","L","Preston Board & Packaging Ltd","1567779","Active","21/02/2019","21/02/2019","Romiley Board Mill STOCKPORT Cheshire SK6 4DZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"80","EA","ER192011114","Paper/board","L","SAICA Paper UK Ltd","06569569","Active","01/01/2019","01/01/2019","144 Manchester Road MANCHESTER M31 4QN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"81","EA","ER1919988","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2019","01/01/2019","Smurfit Kappa SSK Ltd BIRMINGHAM B7 5RE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"82","EA","ER192015111","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2019","01/01/2019","The Mill SNODLAND Kent ME6 5AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"83","EA","ER19199890","Paper/board","L","Sonoco Cores and Paper Ltd","5133800","Active","01/01/2019","01/01/2019","Sonoco Board Mills STAINLAND West Yorkshire HX4 9PY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"84","NRW","WR191998205","Paper/board","L","UPM Kymmene (UK) Ltd","SC102969","Active","01/01/2019","01/01/2019","Weighbridge Road DEESIDE Flintshire CH5 2LL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"85","NIEA","NR192018104","Paper/board","L","Huhtamaki (Lurgan) Limited","NI001006","Active","01/01/2019","01/01/2019","Inn Road LURGAN Armagh BT66 7JN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"86","EA","ER192018119","Plastic","L","Associated Polymer Resources","00000000","Active","01/01/2019","01/01/2019","Bay 7 and 8 EASTLEIGH Hampshire SO5O 5AD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"87","EA","ER192013191","Plastic","L","Avanti Environmental Group Ltd","3476148","Active","01/01/2019","01/01/2019","Avanti Environmetal Group Limited KNOWSLEY Merseyside L33 7UF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"88","EA","ER192019177","Plastic","S","Axion Polymers Ltd","06259637","Active","16/09/2019","16/09/2019","Axion Polymers SALFORD M6 6RX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"89","EA","ER192019171","Plastic","S","Aylesbury Granulation Services Ltd","08968879","Active","30/07/2019","30/07/2019","Unit 1 Woodham Industrial Estate AYLESBURY HP18 0QE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"90","EA","ER192016143","Plastic","L","B S Plastics Ltd","09350237","Active","01/01/2019","01/01/2019","52 CHURCH ROAD BIRMINGHAM WEST MIDLANDS B42 2LB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"91","EA","ER191998221","Plastic","L","Biffa (WES) Limited (REDCAR)","2729607","Active","01/01/2019","01/01/2019","WES Building REDCAR Cleveland TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"92","EA","ER192011103","Plastic","L","Brightgreen Plastics Ltd","7289595","Active","01/01/2019","01/01/2019","ALLERTON BYWATER BUSINESS PARK CASTLEFORD WEST YORKS WF10 2AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"93","EA","ER19199873","Plastic","L","British Polythene Limited","0350729","Active","01/01/2019","01/01/2019","BPI Recycled Products STROUD Gloucestershire GL5 3QF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"94","EA","ER19199871","Plastic","L","British Polythene Ltd","0350729","Active","01/01/2019","01/01/2019","BPI Recycled Products HEANOR Derbyshire DE75 7RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"95","EA","ER19199854","Plastic","L","Centriforce Products Ltd","3347875","Active","01/01/2019","01/01/2019","Errington Works LIVERPOOL Merseyside L20 8EE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"96","EA","ER19199819","Plastic","L","Chase Plastics Ltd","1593735","Active","01/01/2019","01/01/2019","Mile End Works BRANDON Suffolk IP27 0NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"97","EA","ER192016160","Plastic","L","Clean Tech UK Ltd","10445078","Active","01/01/2019","01/01/2019","Hemswell Business Park HEMSWELL Lincolnshire DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"98","EA","ER192019131","Plastic","L","Coveris Flexibles (Gainsborough)
UK Ltd","04786458","Active","25/03/2019","26/07/2019","101 Brackenborough Rd LOUTH Lincolnshire LN11 0AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"99","EA","ER19199829","Plastic","L","Coveris Flexibles (Gainsborough)
UK Ltd (T/A Coveris Winsford)","04786458","Active","01/01/2019","01/01/2019","Coveris Flexibles (Gainsborough) UK Ltd (T/A Coveris Winsford) WINSFORD Cheshire CW7 3RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"100","EA","ER192017116","Plastic","S","Derek Lambert Polythene Ltd","1915346","Active","01/01/2019","12/03/2019","derek lambert polythene ltd BINGLEY west yorkshire BD16 2RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"101","EA","ER192019176","Plastic","L","Desch Plantpak Ltd","00794214","Active","16/09/2019","16/09/2019","Burnham Road MALDON Essex CM9 6NT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"102","EA","ER192019130","Plastic","L","DLR Holdings Ltd T/A Tradpak","6927416","Active","01/01/2019","01/01/2019","93 Cumberland Street HULL East Yorkshire HU2 0PU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"103","EA","ER192014152","Plastic","L","Echo Packaging Ltd","02717201","Active","01/01/2019","01/01/2019","Sondes Road CORBY Northamptonshire NN17 5XL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"104","EA","ER192019124","Plastic","L","EF Plastics UK Ltd","08821335","Active","01/01/2019","01/01/2019","Export Depot METHWOLD Norfolk IP26 4PR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"105","EA","ER192019173","Plastic","S","Elite Plastics Ltd","2465066","Active","06/09/2019","06/09/2019","elite plastics limited HEREFORD herefordshire HR26JR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"106","EA","ER192013198","Plastic","L","Enva Plastics Ltd","04975936","Active","01/01/2019","01/01/2019","SOUTH FEN ROAD BOURNE LINCS PE10 0DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"107","EA","ER19199846","Plastic","L","Frank Mercer & Sons Ltd","1370465","Active","01/01/2019","01/01/2019","Chequerbent Works BOLTON GT Manchester BL5 3JF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"108","EA","ER192014157","Plastic","L","Hahn Plastics Ltd","08268517","Active","01/01/2019","01/01/2019","Pilkington Site MANCHESTER Greater Manchester M27 8LJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"109","EA","ER192018126","Plastic","L","Impact Recycling Ltd","SC489143","Active","01/01/2020","01/01/2020","Unit 6B, Metnor Business Park WALLSEND NE28 6HH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"110","EA","ER192018131","Plastic","L","Indigo Environmental Limited","10695826","Active","01/01/2019","01/01/2019","Indigo Environmental Group WIDNES Cheshire WA8 8UD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"111","EA","ER192019157","Plastic","L","IP Polymers Ltd","10247707","Active","16/07/2019","16/07/2019","No 1 West Marsh Lane BARROW DN19 7EU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"112","EA","ER192008114","Plastic","L","J. and A. Young (Leicester) Ltd","1222186","Active","01/01/2019","01/01/2019","Cotton Way LOUGHBOROUGH Leicestershire LE11 5FJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"113","EA","ER192010107","Plastic","L","J. and A. Young (Leicester) Ltd","01222186","Active","01/01/2019","01/01/2019","15 Saxon Way East CORBY Northamptonshire NN18 9EY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"114","EA","ER192013196","Plastic","L","J. and A. Young (Leicester) Ltd","01222186","Active","01/01/2019","01/01/2019","Building 32 and 36 LOUGHBOROUGH Leicestershire LE11 5RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"115","EA","ER192019106","Plastic","S","J. and A. Young (Leicester) Ltd","01222186","Active","01/01/2019","01/01/2019","Berristow Lane SOUTH NORMANTON Derbyshire DE55 2DT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"116","EA","ER192019156","Plastic","S","J. and A. Young (Leicester) Ltd","01222186","Active","12/07/2019","12/07/2019","Dartmouth Road SMETHWICK West Midlands B66 1AS","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"117","EA","ER192014133","Plastic","S","Jason Plastics Ltd","1062457","Active","17/05/2019","17/05/2019","Prettywood BURY Lancs BL9 7HZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"118","EA","ER192018141","Plastic","L","K S Plastic Ltd","11100635","Active","01/01/2019","01/01/2019","Building 1 LYDBROOK Gloucestershire GL17 9NG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"119","EA","ER192016101","Plastic","L","KB Extruders Ltd","07533755","Active","01/01/2019","01/01/2019","KB WORKS WESTWOOD ROAD BIRMINGHAM WEST MIDLANDS B6 7DU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"120","EA","ER192019182","Plastic","S","Love Waste Limited","7550339","Active","07/10/2019","07/10/2019","1 Warburton Hey RAINHILL Merseyside L35 4LE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
