no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"1","EA","ER192019174","Aluminium","S","Avon Metals Limited","4135396","Active","13/09/2019","13/09/2019","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER192014105","Aluminium","L","JBMI Group Ltd","07176945","Active","01/01/2019","01/01/2019","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER192019142","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","13/05/2019","13/05/2019","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER19199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2019","01/01/2019","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER192009212","Aluminium","S","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2019","01/01/2019","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"6","NRW","WR191998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2019","01/01/2019","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER192017112","EfW","L","FCC Environment (Lincolnshire) Ltd","07418620","Active","01/01/2019","01/01/2019","Paving Way NORTH HYKEHAM Lincolnshire LN6 3QW","R1 Use principally as a fuel or other means to generate energy"
"8","EA","ER192016128","EfW","L","Lakeside Energy From Waste Ltd","3861722","Active","01/01/2019","01/01/2019","LAKESIDE ENERGY FROM WASTE LTD COLNBROOK Berkshire SL3 0FE","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER192016102","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","01/01/2019","01/01/2019","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER192002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","01/01/2019","01/01/2019","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"11","EA","ER192015118","EfW","L","SUEZ Recycling and Recovery
Suffolk Ltd","07346155","Active","01/01/2019","01/01/2019","Suffolk Energy from Waste Plant GREAT BLAKENHAM Suffolk IP6 0JE","R1 Use principally as a fuel or other means to generate energy"
"12","EA","ER19199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","01/01/2019","01/01/2019","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
"13","EA","ER19199838","EfW","L","Veolia ES Birmingham Ltd","02692681","Active","01/01/2019","01/01/2019","James Road BIRMINGHAM B11 2BA","R1 Use principally as a fuel or other means to generate energy"
"14","EA","ER192016108","EfW","L","VEOLIA ES SHEFFIELD LIMITED","03709317","Active","01/01/2019","01/01/2019","Bernard Road Service Centre SHEFFIELD South Yorkshire S4 7YX","R1 Use principally as a fuel or other means to generate energy"
"15","EA","ER192016110","EfW","L","Viridor Peterborough Ltd","08254147","Active","01/01/2019","01/01/2019","Fourth Drove PETERBOROUGH Cambridgeshire PE1 5UR","R1 Use principally as a fuel or other means to generate energy"
"16","EA","ER192014165","EfW","L","Viridor Waste Management Ltd
(Ardley)","0575069","Active","01/01/2019","01/01/2019","Ardley Energy from Waste Facility ARDLEY Oxfordshire OX27 7PH","R1 Use principally as a fuel or other means to generate energy"
"17","NRW","WR192008110","EfW","S","Marlin Industries (Wrexham) Ltd","2831738","Active","01/01/2019","01/01/2019","Davy Way WREXHAM WREXHAM LL12 0PG","R1 Use principally as a fuel or other means to generate energy"
"18","NRW","WR192014707","EfW","L","Viridor Resource Management
Limited","0575069","Active","01/01/2019","01/01/2019","TRIDENT PARK EfW CARDIFF CF24 5EN","R1 Use principally as a fuel or other means to generate energy"
"19","NIEA","NR192007006","EfW","L","Eglinton (Timber Products) Ltd","NI019444","Active","01/01/2019","01/01/2019","Eglinton (Timber Products) Ltd EGLINTON Co Londonderry BT47 3PY","R1 Use principally as a fuel or other means to generate energy"
"20","EA","ER192019121","Glass Other","L","Brinklow Quarry Ltd","06765411","Active","01/01/2019","01/01/2019","Brinklow Quarry BRINKLOW Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"21","EA","ER192013135","Glass Other","L","Day Group Ltd","00432417","Active","01/01/2019","01/01/2019","Transport Avenue BRENTFORD Middlesex TW8 9HF","R5 Recycling/reclamation of other inorganic materials"
