no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"1","EA","ER232019174","Aluminium","S","Avon Metals Limited","4135396","Active","28/03/2023","28/03/2023","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER232014105","Aluminium","S","JBMI Group Ltd","07176945","Active","01/01/2023","14/08/2023","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER232019142","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","18/01/2023","18/01/2023","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER23199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2023","01/01/2023","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER232009212","Aluminium","L","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2023","01/01/2023","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"6","NRW","WR231998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2023","01/01/2023","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER232023165","Glass Other","L","Aquavitrum Ltd","08313370","Active","28/07/2023","28/07/2023","unit 6, Conegar Rd EASTLEIGH Hampshire SO50 6JQ","R5 Recycling/reclamation of other inorganic materials"
"8","EA","ER232019121","Glass Other","L","Brinklow Quarry Ltd","06765411","Active","01/01/2023","01/01/2023","Brinklow Quarry BRINKLOW Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"9","EA","ER232013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2023","01/01/2023","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"10","EA","ER232013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2023","01/01/2023","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"11","EA","ER232014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","27/04/2023","27/04/2023","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"12","EA","ER232023188","Glass Other","S","NRS Meriden Aggregates Ltd","11911715","Active","08/11/2023","08/11/2023","Cornets End Recycling Facility MERIDEN Solihull CV7 7LH","R5 Recycling/reclamation of other inorganic materials"
"13","EA","ER232017124","Glass Other","L","NRS Waste Management Services
Ltd","06730643","Active","01/01/2023","01/01/2023","Birmingham Road COVENTRY WARKS CV7 7JS","R5 Recycling/reclamation of other inorganic materials"
"14","EA","ER232022107","Glass Other","L","Prestige Aggregates Ltd","08217871","Active","01/01/2023","01/01/2023","Prestige Aggregates Ltd MALTBY, Rotherham S66 7QR","R5 Recycling/reclamation of other inorganic materials"
