no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"15","EA","ER232023129","Glass Other","L","Prestige Aggregates Ltd
(Armthorpe)","08217871","Active","14/02/2023","14/02/2023","Holme wood lane DONCASTER South yorkshire DN3 3EH","R5 Recycling/reclamation of other inorganic materials"
"16","EA","ER232013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2023","01/01/2023","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"17","EA","ER232023142","Glass Other","S","Selby Green Mix Ltd","14368517","Cancelled","28/04/2023","12/06/2023","Whitemoor Business Park Cliffe Road SELBY YO8 6EG","R5 Recycling/reclamation of other inorganic materials"
"18","EA","ER232021166","Glass Other","L","Sibelco Green Solutions UK Ltd","01009716","Active","01/01/2023","01/01/2023","Sheffield Glass Recycling Works SHEFFIELD South Yorkshire S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"19","EA","ER232014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/01/2023","01/01/2023","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"20","EA","ER232021168","Glass Other","L","Syracuse Waste Ltd","13269384","Active","01/01/2023","01/01/2023","Ford Materials Recycling Facility ARUNDEL West Sussex BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"21","EA","ER232016155","Glass Other","L","Thomas Bros Ltd","04540471","Active","01/01/2023","01/01/2023","Cainhoe Quarry SHEFFORD Bedfordshire SG17 5PJ","R5 Recycling/reclamation of other inorganic materials"
"22","EA","ER232023187","Glass Other","L","Universal Glass Limited","14868589","Active","30/10/2023","30/10/2023","Universal House SHEFFIELD South Yorkshire S25 3RF","R5 Recycling/reclamation of other inorganic materials"
"23","EA","ER232013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2023","01/01/2023","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"24","EA","ER232017128","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2023","01/01/2023","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"25","NRW","WR232013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2023","01/01/2023","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"26","NIEA","NR232013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2023","01/01/2023","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"27","NIEA","NR232023111","Glass Other","L","McKinstry Skip Hire","NI046471","Active","09/02/2023","09/02/2023","81-83 Belfast Road CRUMLIN Antrim BT294TL","R5 Recycling/reclamation of other inorganic materials"
"28","NIEA","NR232023121","Glass Other","S","ReCon Waste Management Ltd","NI610342","Active","04/08/2023","04/08/2023","9 PORTADOWN Co Armagh BT621UX","R5 Recycling/reclamation of other inorganic materials"
"29","NIEA","NR232018106","Glass Other","L","RecyCo","NI049526","Active","01/01/2023","01/01/2023","89 Barony Road OMAGH Co Tyrone BT79 7QG","R5 Recycling/reclamation of other inorganic materials"
"30","NIEA","NR232013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2023","01/01/2023","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"31","NIEA","NR232020108","Glass Other","L","RiverRidge","NI640376","Active","01/01/2023","01/01/2023","56 Craigmore Road GARVAGH Derry BT51 5HF","R5 Recycling/reclamation of other inorganic materials"
"32","NIEA","NR232019106","Glass Other","L","Skips R Us","NI604214","Active","01/01/2023","01/01/2023","132a Concession Road NEWRY Down BT35 9JE","R5 Recycling/reclamation of other inorganic materials"
"33","NIEA","NR232016102","Glass Other","L","T&J Recycling T/A Barrett Recycling","NI611006","Active","01/01/2023","01/01/2023","128 Eglish Rd DUNGANNON Tyrone BT701LB","R5 Recycling/reclamation of other inorganic materials"
"34","SEPA","SR232023103","Glass Other","L","DDH","","Active","16/05/2023","16/05/2023","DDH Yard TWATT Orkney KW17 2JH","R5 Recycling/reclamation of other inorganic materials"
"35","SEPA","SR232014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Active","01/01/2023","01/01/2023","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"36","SEPA","SR232021106","Glass Other","L","Sibelco Green Solutions UK","01009716","Active","01/01/2023","01/01/2023","Newhouse Glass Recycling Facility NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"37","EA","ER232013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2023","01/01/2023","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"38","EA","ER232013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2023","01/01/2023","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"39","EA","ER232013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2023","01/01/2023","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"40","EA","ER232013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2023","01/01/2023","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"41","EA","ER232013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2023","01/01/2023","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"42","EA","ER232015121","Glass Re-melt","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2023","01/01/2023","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"43","EA","ER232013136","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2023","01/01/2023","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"44","EA","ER232015106","Glass Re-melt","L","Recresco Ltd (3)","4066165","Active","01/01/2023","01/01/2023","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"45","EA","ER232021165","Glass Re-melt","L","Sibelco Green Solutions UK Ltd","01009716","Active","01/01/2023","01/01/2023","Sheffield Glass Recycling Works SHEFFIELD South Yorkshire S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"46","EA","ER232023121","Glass Re-melt","L","Stacey Processing Ltd","4446433","Active","19/01/2023","19/01/2023","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"47","EA","ER232013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2023","01/01/2023","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"48","EA","ER232016162","Glass Re-melt","L","URM (UK) Ltd t/a Berrymans","4084246","Active","01/01/2023","01/01/2023","BARNBY DUN ROAD DONCASTER SOUTH YORKSHIRE DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"49","EA","ER232015124","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2023","01/01/2023","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"50","EA","ER232017127","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2023","01/01/2023","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"51","EA","ER232016161","Glass Re-melt","L","URM UK Ltd T/A Berrymans","4084246","Active","01/01/2023","01/01/2023","Headlands Lane KNOTTINGLEY WEST YORKSHIRE WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"52","EA","ER232017132","Glass Re-melt","L","Veolia ES (UK) Ltd","02481991","Active","01/01/2023","01/01/2023","Alexandra Warehouse ST HELENS WA10 3LR","R5 Recycling/reclamation of other inorganic materials"
"53","EA","ER232013121","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2023","01/01/2023","Fernley Green Road KNOTTINGLEY West Yorkshire WF11 8DJ","R5 Recycling/reclamation of other inorganic materials"
"54","EA","ER232013122","Glass Re-melt","S","Verallia UK Ltd","3846688","Active","01/01/2023","01/01/2023","South Accommodation Road LEEDS West Yorkshire LS10 1NQ","R5 Recycling/reclamation of other inorganic materials"
"55","NRW","WR232015701","Glass Re-melt","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2023","01/01/2023","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"56","NIEA","NR232013104","Glass Re-melt","L","Encirc Ltd","NI 30990","Active","01/01/2023","01/01/2023","11 Gortahurk Road DERRYLIN Fermanagh BT92 9DD","R5 Recycling/reclamation of other inorganic materials"
"57","NIEA","NR232019104","Glass Re-melt","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2023","01/01/2023","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"58","SEPA","SR232013103","Glass Re-melt","L","Ardagh Glass Ltd","00567801","Active","01/01/2023","01/01/2023","Irvine Plant IRVINE KA12 8JA","R5 Recycling/reclamation of other inorganic materials"
"59","SEPA","SR232014102","Glass Re-melt","L","Dryden Aqua Ltd","SC072700","Active","01/01/2023","01/01/2023","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"60","SEPA","SR232021104","Glass Re-melt","L","Enva Scotland Limited","SC057052","Active","02/02/2023","02/02/2023","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"61","SEPA","SR232013101","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2023","01/01/2023","Glasshouse Loan ALLOA Clackmannanshire FK10 1PD","R5 Recycling/reclamation of other inorganic materials"
"62","SEPA","SR232021105","Glass Re-melt","L","Sibelco Green Solutions UK","01009716","Active","01/01/2023","01/01/2023","Newhouse Glass Recycling Facility NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"63","EA","ER23199864","Paper/board","L","DS Smith Paper Limited","00058614","Active","01/01/2023","01/01/2023","DS SMITH PAPER LTD STTTINGBOURNE KENT ME10 2TD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"64","EA","ER232020197","Paper/board","S","Northwood Tissue (Disley) Ltd","07022309","Active","09/10/2023","09/10/2023","Disley Mill STOCKPORT Cheshire SK12 2HW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"65","EA","ER232019102","Paper/board","L","Northwood Tissue (Lancaster) Ltd","8271967","Active","01/01/2023","01/01/2023","Northwood Tissue (Lancaster) Ltd LANCASTER Lancashire LA1 3PQ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"66","EA","ER232023150","Paper/board","S","Oso Fiber UK Ltd","12577120","Suspended","24/05/2023","26/11/2023","Harcourt, Halesfield 15, TELFORD Shropshire TF7 4ER","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"67","EA","ER232021124","Paper/board","L","Palm Paper Ltd","00813701","Active","01/01/2023","01/01/2023","Palm Paper Ltd KINGS LYNN Norfolk PE34 3AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"68","EA","ER231998133","Paper/board","L","Preston Board & Packaging Ltd","1567779","Active","01/01/2023","01/01/2023","Romiley Board Mill STOCKPORT Cheshire SK6 4DZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"69","EA","ER232011114","Paper/board","L","SAICA Paper UK Ltd","06569569","Active","01/01/2023","01/01/2023","144 Manchester Road MANCHESTER M31 4QN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"70","EA","ER2319988","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2023","01/01/2023","Smurfit Kappa SSK Ltd BIRMINGHAM B7 5RE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"71","EA","ER232015111","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2023","01/01/2023","The Mill SNODLAND Kent ME6 5AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"72","EA","ER23199890","Paper/board","L","Sonoco Cores and Paper Ltd","5133800","Active","01/01/2023","01/01/2023","Sonoco Board Mills STAINLAND West Yorkshire HX4 9PY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"73","NRW","WR232020708","Paper/board","L","New Horizon Biofuel and animal
beddings Co Ltd","11777941","Active","01/01/2023","01/01/2023","New Horizon Biofuel & Animal Beddings Co Ltd RUABON Wrexham LL14 6HA","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"74","NIEA","NR232018104","Paper/board","L","Huhtamaki (Lurgan) Limited","NI001006","Active","01/01/2023","01/01/2023","Inn Road LURGAN Armagh BT66 7JN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"75","EA","ER232023131","Plastic","S","1031 Recycling Limited","14085018","Active","28/02/2023","28/02/2023","17 Pennine Parade LONDON Middlesex NW2 1NT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"76","EA","ER232020138","Plastic","S","Aintree Cartons Ltd","03098513","Active","26/05/2023","26/05/2023","37 Stopgate Lane LIVERPOOL Merseyside L9 6DX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"77","EA","ER232023146","Plastic","L","Amet Trading UK Ltd","12339551","Cancelled","15/05/2023","17/11/2023","AMET Trading UK Limited CALVERTON Nottinghamshire NG14 6NR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"78","EA","ER232013191","Plastic","L","Avanti Environmental Group Ltd","3476148","Active","01/01/2023","30/10/2023","Avanti Environmetal Group Limited KNOWSLEY Merseyside L33 7UF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"79","EA","ER232019177","Plastic","S","Axion Polymers Ltd","06259637","Active","10/01/2023","10/01/2023","Axion Polymers SALFORD M6 6RX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"80","EA","ER232019171","Plastic","S","Aylesbury Granulation Services Ltd","08968879","Active","01/01/2023","01/01/2023","Unit 1 Woodham Industrial Estate AYLESBURY HP18 0QE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"81","EA","ER232020262","Plastic","L","B & J Parr","","Active","01/01/2023","01/01/2023","B & J Parr MANSFIELD Nottinghamshire NG19 8BZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"82","EA","ER232016143","Plastic","L","B S Plastics Ltd","09350237","Active","01/01/2023","01/01/2023","52 CHURCH ROAD BIRMINGHAM WEST MIDLANDS B42 2LB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"83","EA","ER231998221","Plastic","L","Biffa (WES) Limited (REDCAR)","2729607","Cancelled","01/01/2023","23/10/2023","WES Building REDCAR Cleveland TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"84","EA","ER232020125","Plastic","L","Biffa (WES) Limited (SEAHAM)","2729607","Cancelled","01/01/2023","23/10/2023","Foxcover 9 SEAHAM County Durham SR7 7DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"85","EA","ER232021151","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/01/2023","01/01/2023","Wilden Road WASHINGTON Tyne and Wear NE38 8QB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"86","EA","ER232023175","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/10/2023","01/10/2023","Foxcover 9 SEAHAM England SR7 7DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"87","EA","ER232023177","Plastic","L","BIFFA WASTE SERVICES LIMITED","00946107","Active","01/10/2023","01/10/2023","Biffa Waste Services Ltd REDCAR North Yorkshire TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"88","EA","ER232011103","Plastic","L","Brightgreen Plastics Ltd","7289595","Active","18/01/2023","18/01/2023","ALLERTON BYWATER BUSINESS PARK CASTLEFORD WEST YORKS WF10 2AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"89","EA","ER23199871","Plastic","L","British Polythene Ltd","0350729","Active","01/01/2023","01/01/2023","BPI Recycled Products HEANOR Derbyshire DE75 7RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"90","EA","ER232021113","Plastic","S","British Polythene Ltd
(Bromborough)","0350729","Active","01/01/2023","01/01/2023","40 Thursby Road BIRKENHEAD Wirral CH62 3PZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"91","EA","ER23199854","Plastic","S","Centriforce Products Ltd","3347875","Active","01/01/2023","01/01/2023","Errington Works LIVERPOOL Merseyside L20 8EE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"92","EA","ER232023182","Plastic","S","CGC Recycling Ltd","14415371","Active","05/10/2023","05/10/2023","UNIT 6A STATION INDUSTRIAL ESTATE BROMYARD HR7 4HP","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"93","EA","ER23199819","Plastic","L","Chase Plastics Ltd","1593735","Active","01/01/2023","01/01/2023","Mile End Works BRANDON Suffolk IP27 0NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"94","EA","ER232022135","Plastic","L","CHP Polymers Ltd","13262401","Active","01/01/2023","01/01/2023","CHP POLYMERS LTD CHESTERFIELD Derbyshire S419BH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"95","EA","ER232016160","Plastic","L","Clean Tech UK Ltd","10445078","Active","01/01/2023","01/01/2023","Hemswell Business Park HEMSWELL Lincolnshire DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"96","EA","ER232023133","Plastic","L","Cleantank Ltd","07152671","Active","16/03/2023","16/03/2023","Amsterdam Road HULL East Yorkshire HU7 0XF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"97","EA","ER232023186","Plastic","S","Clearfield Envirotech Ltd","12192641","Active","27/10/2023","27/10/2023","Unit MC1 Road Five WINSFORD Cheshire CW7 3RB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"98","EA","ER232023148","Plastic","L","Complete Plastics Recycling Ltd","12314562","Suspended","19/05/2023","25/07/2023","brookfields way ROTHERHAM south yorkshire S63 5DL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"99","EA","ER232020211","Plastic","L","Concept Plastic Packaging Ltd","03491928","Active","01/01/2023","01/01/2023","40 Adams Close HEANOR Derbyshire DE75 7SW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"100","EA","ER232020193","Plastic","L","Coveris Winsford Ltd","12372044","Active","01/01/2023","01/01/2023","20 Road One WINSFORD Cheshire CW7 3RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"101","EA","ER232020260","Plastic","S","CPR Manufacturing Limited","04045866","Active","18/01/2023","18/01/2023","51 Dunsford Road ALFRETON Derby DE55 7RH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"102","EA","ER232023169","Plastic","L","D L Plastics Ltd","10355223","Active","11/08/2023","11/08/2023","Unit 4 NOTTINGHAM Nottinghamshire NG16 2RX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"103","EA","ER232020250","Plastic","S","Daly Plastics Ltd","07279081","Active","10/01/2023","10/01/2023","unit 1 bury greater manchester bl2 6rt","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"104","EA","ER232021157","Plastic","S","Delta (Container) Recycling Ltd","6489056","Active","19/01/2023","19/01/2023","Preston Street MANCHESTER M18 8DB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"105","EA","ER232021163","Plastic","S","Densan Recycling","00000000","Active","01/01/2023","01/01/2023","17 leeside industrial park NAZIENG EN9 2BF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"106","EA","ER232017116","Plastic","S","Derek Lambert Polythene Ltd","1915346","Active","09/02/2023","09/02/2023","derek lambert polythene ltd BINGLEY west yorkshire BD16 2RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"107","EA","ER232019176","Plastic","L","Desch Plantpak Ltd","00794214","Active","01/01/2023","01/01/2023","Burnham Road MALDON Essex CM9 6NT","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"108","EA","ER232020235","Plastic","L","DJO Waste Recycling Ltd","12253715","Suspended","01/01/2023","12/07/2023","UNIT 1A, BILSTON KEY INDUSTRIAL ESTATE BILSTON WEST MIDLAND WV14 7DW","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"109","EA","ER232019130","Plastic","S","DLR Holdings Ltd T/A Tradpak","6927416","Active","09/02/2023","09/02/2023","93 Cumberland Street HULL East Yorkshire HU2 0PU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"110","EA","ER232021132","Plastic","L","DTS Trading Limited","08065330","Cancelled","01/01/2023","16/02/2023","20 The Furlong DROITWICH Worcestershire WR9 9AH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"111","EA","ER232023157","Plastic","L","Duclo Recycling Ltd","13803690","Active","16/06/2023","16/06/2023","Cube Shed LEEDS LS10 1DF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"112","EA","ER232014152","Plastic","L","Echo Packaging Ltd","02717201","Active","01/01/2023","01/01/2023","Sondes Road CORBY Northamptonshire NN17 5XL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"113","EA","ER232020189","Plastic","L","Edmonton Poly Bags Ltd","08408593","Active","01/01/2023","01/01/2023","3 KENNINGHALL ROAD LONDON N18 2PD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"114","EA","ER232019173","Plastic","S","Elite Plastics Ltd","2465066","Active","01/01/2023","01/01/2023","elite plastics limited HEREFORD herefordshire HR26JR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"115","EA","ER232020167","Plastic","L","Fablex 2000 Ltd","03746368","Active","01/01/2023","01/01/2023","Unit 1 Birmingham B11 2LF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"116","EA","ER232023103","Plastic","S","Faerch Durham Ltd","07770672","Active","01/01/2023","01/01/2023","FAERCH DURHAM LTD DURHAM COUNTY DURHAM DH1 2YN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"117","EA","ER232022110","Plastic","S","FIELD RECYCLING UK LTD","10300364","Active","28/03/2023","28/03/2023","Unit 1A Tat Bank Road Industrial Estate DUDLEY West Midlands B69 4NB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"118","EA","ER232023159","Plastic","S","FIRST CHOICE GLOBAL TRADE LTD","12937250","Cancelled","20/06/2023","07/11/2023","Crown Works SMETHWICK West Midlands B66 2NZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"119","EA","ER232022104","Plastic","L","Flexipol Packaging Ltd","02963868","Active","01/01/2023","01/01/2023","Unit 2 DUNSTABLE Bedfordshire LU6 1NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
