no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"30","EA","ER242024125","Glass Other","S","Whites Skip Hire & Recycling
Limited","07044164","Active","16/02/2024","16/02/2024","White Skip Hire HULL East Yorkshire HU6 7QD","R5 Recycling/reclamation of other inorganic materials"
"31","NRW","WR242013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2024","01/01/2024","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"32","NIEA","NR242013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2024","01/01/2024","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"33","NIEA","NR242023111","Glass Other","L","McKinstry Skip Hire","NI046471","Active","01/01/2024","01/01/2024","81-83 Belfast Road CRUMLIN Antrim BT294TL","R5 Recycling/reclamation of other inorganic materials"
"34","NIEA","NR242018106","Glass Other","L","RecyCo","NI049526","Active","01/01/2024","01/01/2024","89 Barony Road OMAGH Co Tyrone BT79 7QG","R5 Recycling/reclamation of other inorganic materials"
"35","NIEA","NR242013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2024","01/01/2024","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"36","NIEA","NR242020108","Glass Other","L","RiverRidge","NI640376","Active","04/03/2024","04/03/2024","56 Craigmore Road GARVAGH Derry BT51 5HF","R5 Recycling/reclamation of other inorganic materials"
"37","NIEA","NR242019106","Glass Other","L","Skips R Us","NI604214","Active","01/01/2024","01/01/2024","132a Concession Road NEWRY Down BT35 9JE","R5 Recycling/reclamation of other inorganic materials"
"38","NIEA","NR242016102","Glass Other","L","T&J Recycling T/A Barrett Recycling","NI611006","Active","01/01/2024","01/01/2024","128 Eglish Rd DUNGANNON Tyrone BT701LB","R5 Recycling/reclamation of other inorganic materials"
"39","SEPA","SR242024101","Glass Other","S","Brewster Brothers Limited","SC155687","Active","02/05/2024","02/05/2024","Drumshoreland Bing LIVINGSTON West Lothian EH53 0LG","R5 Recycling/reclamation of other inorganic materials"
"40","SEPA","SR242023103","Glass Other","S","DDH","","Active","09/05/2024","09/05/2024","DDH Yard TWATT Orkney KW17 2JH","R5 Recycling/reclamation of other inorganic materials"
"41","SEPA","SR242014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Active","01/01/2024","01/01/2024","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"42","SEPA","SR242021106","Glass Other","L","Sibelco Green Solutions UK","01009716","Active","01/01/2024","01/01/2024","Newhouse Glass Recycling Facility NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"43","EA","ER242013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2024","01/01/2024","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"44","EA","ER242013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2024","01/01/2024","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"45","EA","ER242013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2024","01/01/2024","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"46","EA","ER242013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2024","01/01/2024","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"47","EA","ER242013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2024","01/01/2024","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"48","EA","ER242015121","Glass Re-melt","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2024","01/01/2024","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"49","EA","ER242013136","Glass Re-melt","S","O-I Glass Ltd","00526983","Active","01/01/2024","01/01/2024","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"50","EA","ER242015106","Glass Re-melt","L","Recresco Ltd (3)","4066165","Active","01/01/2024","01/01/2024","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"51","EA","ER242021165","Glass Re-melt","L","Sibelco Green Solutions UK Ltd","01009716","Active","01/01/2024","01/01/2024","Sheffield Glass Recycling Works SHEFFIELD South Yorkshire S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"52","EA","ER242023121","Glass Re-melt","L","Stacey Processing Ltd","4446433","Active","01/01/2024","01/01/2024","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"53","EA","ER242013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2024","01/01/2024","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"54","EA","ER242016162","Glass Re-melt","L","URM (UK) Ltd t/a Berrymans","4084246","Active","01/01/2024","01/01/2024","BARNBY DUN ROAD DONCASTER SOUTH YORKSHIRE DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"55","EA","ER242015124","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2024","01/01/2024","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
