no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"1","EA","ER152015146","Aluminium","S","Avon Metals Limited","4135396","Active","02/10/2015","02/10/2015","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER152014105","Aluminium","S","JBMI Group Ltd","07176945","Active","01/01/2015","01/01/2015","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER152015143","Aluminium","S","Norton Aluminium Ltd","4057749","Active","11/09/2015","11/09/2015","Norton Aluminium Ltd CANNOCK Staffordshire WS11 9PS","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER15199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2015","01/01/2015","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER152009212","Aluminium","S","Tandom Metallurgical Group Ltd","06661279","Active","27/08/2015","27/08/2015","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"6","NRW","WR151998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2015","01/01/2015","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER152014111","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","20/11/2015","20/11/2015","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"8","EA","ER152002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","28/05/2015","28/05/2015","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER152015118","EfW","L","SUEZ Recycling and Recovery
Suffolk Ltd","07346155","Active","05/03/2015","03/11/2015","Suffolk Energy from Waste Plant GREAT BLAKENHAM Suffolk IP6 0JE","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER15199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","06/03/2015","06/03/2015","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
