no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,site_address,classification_of_operation
"1","EA","ER202019174","Aluminium","L","Avon Metals Limited","4135396","Active","01/01/2020","01/01/2020","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER202014105","Aluminium","L","JBMI Group Ltd","07176945","Active","01/01/2020","01/01/2020","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER202020206","Aluminium","S","LCM Scrap Company Ltd","07870096","Active","30/04/2020","30/04/2020","Unit 6 LONDON London E16 2EJ","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER202019142","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","24/03/2020","24/03/2020","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER20199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2020","01/01/2020","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"6","EA","ER202009212","Aluminium","L","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2020","01/01/2020","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"7","NRW","WR201998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2020","01/01/2020","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"8","EA","ER202020174","EfW","L","Ameycespa (AWRP) ODC Ltd","09200149","Active","27/02/2020","27/02/2020","Allerton Waste Reprocessing Plant KNARESBOROUGH North Yorkshire HG5 0SD","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER202017112","EfW","L","FCC Environment (Lincolnshire) Ltd","07418620","Active","01/01/2020","01/01/2020","Paving Way NORTH HYKEHAM Lincolnshire LN6 3QW","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER202020231","EfW","L","Kent Enviropower Limited","2894377","Active","19/06/2020","19/06/2020","Kent Enviropower Ltd MAIDSTONE Kent ME16 0LE","R1 Use principally as a fuel or other means to generate energy"
"11","EA","ER202016128","EfW","L","Lakeside Energy From Waste Ltd","3861722","Active","01/01/2020","01/01/2020","LAKESIDE ENERGY FROM WASTE LTD COLNBROOK Berkshire SL3 0FE","R1 Use principally as a fuel or other means to generate energy"
"12","EA","ER202016102","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","01/01/2020","01/01/2020","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"13","EA","ER202002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","01/01/2020","01/01/2020","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"14","EA","ER202015118","EfW","L","SUEZ Recycling and Recovery
Suffolk Ltd","07346155","Active","01/01/2020","01/01/2020","Suffolk Energy from Waste Plant GREAT BLAKENHAM Suffolk IP6 0JE","R1 Use principally as a fuel or other means to generate energy"
"15","EA","ER20199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","01/01/2020","01/01/2020","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
"16","EA","ER20199838","EfW","L","Veolia ES Birmingham Ltd","02692681","Active","01/01/2020","01/01/2020","James Road BIRMINGHAM B11 2BA","R1 Use principally as a fuel or other means to generate energy"
"17","EA","ER202016108","EfW","L","VEOLIA ES SHEFFIELD LIMITED","03709317","Active","01/01/2020","01/01/2020","Bernard Road Service Centre SHEFFIELD South Yorkshire S4 7YX","R1 Use principally as a fuel or other means to generate energy"
"18","EA","ER202016110","EfW","L","Viridor Peterborough Ltd","08254147","Active","01/01/2020","01/01/2020","Fourth Drove PETERBOROUGH Cambridgeshire PE1 5UR","R1 Use principally as a fuel or other means to generate energy"
"19","NRW","WR202008110","EfW","S","Marlin Industries (Wrexham) Ltd","2831738","Active","01/01/2020","01/01/2020","Davy Way WREXHAM WREXHAM LL12 0PG","R1 Use principally as a fuel or other means to generate energy"
"20","NRW","WR202014707","EfW","L","Viridor Resource Management
Limited","0575069","Active","01/01/2020","01/01/2020","TRIDENT PARK EfW CARDIFF CF24 5EN","R1 Use principally as a fuel or other means to generate energy"
"21","NIEA","NR202007006","EfW","S","Eglinton (Timber Products) Ltd","NI019444","Active","01/01/2020","01/01/2020","Eglinton (Timber Products) Ltd EGLINTON Co Londonderry BT47 3PY","R1 Use principally as a fuel or other means to generate energy"
"22","NIEA","NR202020116","EfW","S","Tyrone Energy Ltd","NI068734","Active","06/08/2020","06/08/2020","3a Art Rd ARTIGARVAN Tyrone BT82 0HA","R1 Use principally as a fuel or other means to generate energy"
"23","EA","ER202019121","Glass Other","L","Brinklow Quarry Ltd","06765411","Active","01/01/2020","01/01/2020","Brinklow Quarry BRINKLOW Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"24","EA","ER202013135","Glass Other","L","Day Group Ltd","00432417","Active","01/01/2020","01/01/2020","Transport Avenue BRENTFORD Middlesex TW8 9HF","R5 Recycling/reclamation of other inorganic materials"
"25","EA","ER202013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","20/03/2020","20/03/2020","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"26","EA","ER202013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","23/04/2020","23/04/2020","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"27","EA","ER202014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","25/03/2020","25/03/2020","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"28","EA","ER202020227","Glass Other","L","Johnsons Aggregates and Recycling
Ltd","4366658","Active","03/06/2020","03/06/2020","Johnsons Aggregates and Recycling Ltd ILKESTON DERBYSHIRE DE7 4BG","R5 Recycling/reclamation of other inorganic materials"
"29","EA","ER202020256","Glass Other","L","Johnsons Aggregates and Recycling
Ltd","4366658","Active","29/09/2020","29/09/2020","Johnsons Aggregates And Recycling Ltd NOTTINGHAM NG11 6QN","R5 Recycling/reclamation of other inorganic materials"
"30","EA","ER202017124","Glass Other","L","NRS Waste Management Services
Ltd","06730643","Active","01/01/2020","01/01/2020","Birmingham Road COVENTRY WARKS CV7 7JS","R5 Recycling/reclamation of other inorganic materials"
"31","EA","ER202020212","Glass Other","L","Prestige Aggregates Ltd","08217871","Active","01/05/2020","01/05/2020","Prestige Aggregates Limited ROTHERHAM S66 8EN","R5 Recycling/reclamation of other inorganic materials"
"32","EA","ER202013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2020","01/01/2020","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"33","EA","ER202014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/01/2020","01/01/2020","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"34","EA","ER202018128","Glass Other","L","Tetron Welbeck LLP","OC366746","Active","01/01/2020","01/01/2020","Welbeck Colliery Waste facility MEDEN VALE Notts NG20 9PU","R5 Recycling/reclamation of other inorganic materials"
"35","EA","ER202016155","Glass Other","L","Thomas Bros Ltd","04540471","Active","01/01/2020","01/01/2020","Cainhoe Quarry SHEFFORD Bedfordshire SG17 5PJ","R5 Recycling/reclamation of other inorganic materials"
"36","EA","ER202013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2020","01/01/2020","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"37","EA","ER202017128","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2020","01/01/2020","46c TILBURY Essex RM18 7EH","R5 Recycling/reclamation of other inorganic materials"
"38","EA","ER202013113","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2020","01/01/2020","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"39","EA","ER202013119","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2020","01/01/2020","FORD MRF ARUNDEL WEST SUSSEX BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"40","EA","ER202013129","Glass Other","L","Viridor Waste Management Ltd","00575069","Active","01/01/2020","01/01/2020","Crayford Materials Recycling Facility DARTFORD Kent DA1 4HQ","R5 Recycling/reclamation of other inorganic materials"
"41","EA","ER202013164","Glass Other","L","Ward Recycling Limited","4373217","Active","06/03/2020","06/03/2020","Ward Recycling Limited MIDDLESBROUGH Cleveland TS6 6TX","R5 Recycling/reclamation of other inorganic materials"
"42","NRW","WR202013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2020","01/01/2020","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"43","NIEA","NR202013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2020","01/01/2020","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"44","NIEA","NR202018106","Glass Other","L","RecyCo","NI049526","Active","01/01/2020","01/01/2020","89 Barony Road OMAGH Co Tyrone BT79 7QG","R5 Recycling/reclamation of other inorganic materials"
"45","NIEA","NR202013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2020","01/01/2020","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"46","NIEA","NR202020108","Glass Other","L","RiverRidge","NI640376","Active","13/01/2020","13/01/2020","56 Craigmore Road GARVAGH Derry BT51 5HF","R5 Recycling/reclamation of other inorganic materials"
