,RefID,RecordLastUpdated(dd/mm/yyyy),Operator(orApplicant),SiteName,TechnologyType,InstalledCapacity(MWelec),TurbineCapacity(MW),No.ofTurbines,HeightofTurbines(m),DevelopmentStatus,Address,County,Region,Country,PostCode,X-coordinate,Y-coordinate,Operational,gov_coords
2042,2514,18/05/2015,EDF Energy - Northern Offshore Windfarm Ltd,Teeside Offshore Wind Farm,Wind Offshore,62,2.3,27,,Operational,"Coast of Coatham Sands at Redcar, the nearest within a mile of the beach",Offshore,Offshore,England,,458470,528174.0,31/08/2013,"(54.645295686459235, -1.0954640950744337)"
2043,2515,20/08/2020,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 1),Wind Offshore,286.5,6,46,154,Operational,"Race Bank
Greater Wash",Offshore,Offshore,England,,573300,363000.0,08/06/2017,"(53.13597422722279, 0.5891743756243717)"
2046,2519,20/08/2020,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,3.6,108,,Operational,"Off Duddon Sands, Cumbria. East Irish Sea",Offshore,Offshore,England,,304230,455334.0,30/10/2014,"(53.98514982535915, -3.462007068918209)"
2047,2520,06/12/2019, E.ON UK,Rampion Offshore Wind Farm (Hastings Zone),Wind Offshore,400,5,116,140,Operational,off the Sussex coastline,Offshore,Offshore,England,,528790,83836.0,26/11/2017,"(50.63999360748163, -0.18000325851508173)"
2048,2521,31/05/2019,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,7,84,,Operational,Offshore Scottish borders,Offshore,Offshore,Scotland,,344074,911416.0,05/08/2019,"(58.08822926265909, -2.950157205656308)"
2050,2523,04/07/2018,EDF Energy Renewables,Blyth Offshore Wind Test Site,Wind Offshore,41.5,8.3,5,,Operational,between 1.8km and 13.8km off the east coast of Blyth in Northumberland,Offshore,Offshore,England,,440591,586033.0,22/10/2017,"(55.166953366920126, -1.3643599002644355)"
2051,2524,20/08/2020,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,714,7,102,,Operational,"Offshore, East of England",Offshore,Offshore,England,NR32,685500,257000.0,28/07/2020,"(52.13696213020822, 2.172796159006266)"
2052,2525,03/09/2020,Orsted (formerly Dong Energy),Hornsea 1 - Heron & Njord,Wind Offshore,1218,7,174,,Operational,,Offshore,Offshore,England,,626000,426000.0,01/12/2019,"(53.68154166355047, 1.4207395028468655)"
2053,2526,02/10/2019,RWE Npower Renewables,Galloper Wind Farm,Wind Offshore,353,6.3,56,,Operational,"30 km from Suffolk coastline, South East Of Sizewell And Aldeburgh",Offshore,Offshore,England,,678139,227875.0,30/03/2018,"(51.87999173192822, 2.039993435598086)"
2055,2528,08/11/2018,Catapult,Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,7,6,1,,Operational,Fife Energy Park (Test Site) off the coast of Methil in Fife,Offshore,Offshore,Scotland,,340600,696860.0,31/03/2014,"(56.16069402727031, -2.957961560267033)"
2056,2532,02/03/2022,Innogy,Triton Knoll,Wind Offshore,857,9.5,90,187,Operational,"Greater Wash region, approximately 33km off the Lincolnshire coast",Offshore,Offshore,England,,591183,372179.0,13/01/2022,"(53.21227229537231, 0.8616390875533684)"
2057,2533,04/06/2020,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,6,110,222,Operational,"14km off Walney Island, Irish Sea",Offshore,Offshore,England,,286289,467410.0,13/09/2018,"(54.089994661952886, -3.7400106467008327)"
2058,2534,12/04/2023,"Diamond Green Limited, CTG & Ocean Winds",Moray East,Wind Offshore,950,9.5,100,204,Operational,"Smith Bank, Moray Firth - 13miles off Lybster",Offshore,Offshore,Scotland,,353328,897834.0,01/04/2022,"(57.96732452349117, -2.7905368948373424)"
2060,2538,02/01/2020,Statoil / Statkraft,Dudgeon East,Wind Offshore,402,6,67,,Operational,Greater wash,Offshore,Offshore,England,,575000,361000.0,15/10/2017,"(53.117460061907245, 0.6134682278857119)"
2061,2539,02/05/2018,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,258,8,32,,Operational,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,315815,398892.0,27/04/2017,"(53.47999190227019, -3.270000016101015)"
2064,2543,19/08/2020,RWE,Gwynt y Mor,Wind Offshore,576,3.6,160,,Operational,Liverpool Bay (13-15km offshore) ,Offshore,Offshore,Wales,,292082,396482.0,18/06/2015,"(53.454003441843525, -3.6266486319369373)"
2065,2544,03/10/2016,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,219,3,73,,Operational,8km from Yorkshire Coast,Offshore,Offshore,England,,566400,390760.0,30/05/2015,"(53.38746283042494, 0.5006435032059389)"
2066,2545,05/04/2018,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,210,6,35,,Operational,25 km north of Spurn Head at the River Humber estuary.,Offshore,Offshore,England,,571600,358680.0,26/05/2015,"(53.097730204705954, 0.5614812934582966)"
2067,2546,20/11/2017,Orsted (formerly Dong Energy),Barrow,Wind Offshore,90,3,30,,Operational,"7km Walney Island, near Barrow-in-Furness",Offshore,Offshore,England,,314978,455827.0,01/04/2006,"(53.99146185098494, -3.2982843943488134)"
4895,6136,02/03/2022,Grupo Cobra,Kincardine Offshore Windfarm,Wind Offshore,49.63,9.5,6,176,Operational,"Kincardine Offshore Windfarm, Laurencekirk, Grampian",Offshore,Offshore,Scotland,,407766,789575.0,19/10/2021,"(56.99728039212569, -1.873801048322221)"
5085,6501,20/08/2020,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 2),Wind Offshore,286.5,6,45,154,Operational,"Race Bank, Greater Wash",Offshore,Offshore,England,,573300,363000.0,01/02/2018,"(53.13597422722279, 0.5891743756243717)"
