year,unu_key,value
2005,0306,4526123
2005,0307,1740960.5
2005,0308,727038
2005,0309,3379381
2005,0401,13241477
2005,0402,24532898
2005,0403,14300596.666666668
2005,0404,15402402
2005,0405,6762498
2005,0406,12876708
2005,0407,544567
2005,0408,10166900.42857143
2005,0501,2205966.7142857146
2005,0502,83637206
2005,0503,2970342
2005,0504,18129399
2005,0601,39090952
2005,0602,1661076
2005,0801,688726
2005,0802,45009
2005,0901,-20852003
2005,0902,2538620
2005,1001,468830.75
2005,1002,-104
2005,0112,211405.91600000003
2005,0701,92427525
2005,0703,11510
2005,0505,83340788.218
2005,0310,-20219
2005,3001,760334
2006,0101,206702
2006,0102,1401798
2006,0103,8225767
2006,0104,1531851
2006,0105,9298
2006,0106,9139395
2006,0108,3597587
2006,0109,906789.5207151065
2006,0111,419046
2006,0113,473639
2006,0114,3809838
2006,0201,62442285.5
2006,0202,40593870
2006,0203,5520969
2006,0204,10548770.5
2006,0205,24676790.333333332
2006,0301,33426622
2006,0302,7748068.5
2006,0303,6056659
2006,0304,738119
2006,0305,7181327.685476865
2006,0306,17732086
2006,0307,2257289
2006,0308,727038
2006,0309,4125292
2006,0401,16808203
2006,0402,23382359
2006,0403,12063732
2006,0404,14657689
2006,0405,8500278
2006,0406,12312314
2006,0407,315360
2006,0408,10162023.857142856
2006,0501,1182283.5714285718
2006,0502,119920275
2006,0503,1797314
2006,0504,17427319
2006,0601,46620024
2006,0602,2359457
2006,0801,1150450
2006,0802,42449
2006,0901,119890997
2006,0902,2435728
2006,1001,438158.5
2006,1002,50403
2006,0112,211405.91600000003
2006,0701,100652224
2006,0703,11510
2006,0505,83340788.218
2006,0310,-20219
2006,3001,760334
2007,0101,237466
2007,0102,1115471
2007,0103,7866824
2007,0104,1822501
2007,0105,-213490
2007,0106,8522390
2007,0108,3379227.3333333335
2007,0109,975981.7810726598
2007,0111,364540
2007,0113,637044
2007,0114,4350150
2007,0201,48946638
2007,0202,40048614.943822324
2007,0203,3636360
2007,0204,10793045
2007,0205,25624636
2007,0301,26234233
2007,0302,5066148
2007,0303,6111986
2007,0304,7857312
2007,0305,5723781.913969153
2007,0306,38703743
2007,0307,1085640
2007,0308,727038
2007,0309,4871203
2007,0401,15958750.3256
2007,0402,38663584
2007,0403,9826867.333333334
2007,0404,13525393.262092128
2007,0405,10238058
2007,0406,16779320
2007,0407,-6429
2007,0408,10157147.285714285
2007,0501,158600.42857142864
2007,0502,112589317
2007,0503,1595709
2007,0504,13391496
2007,0601,42067057.5
2007,0602,5117493
2007,0801,1608592
2007,0802,-15234
2007,0901,77638711
2007,0902,3530604.5
2007,1001,407486.25
2007,1002,57257.5
2007,0112,211405.91600000003
2007,0701,95346098.77160001
2007,0703,11510
2007,0505,83340788.218
2007,0310,-20219
2007,3001,760334
2008,0101,130692
2008,0102,1024559.5
2008,0103,8646349
2008,0104,4685608
2008,0105,-163451
2008,0106,10773677.63939696
2008,0108,3160867.6666666665
2008,0109,1045174.041430213
2008,0111,483555
2008,0113,800449
2008,0114,5332940
2008,0201,66961146.44028796
2008,0202,39503359.88764465
2008,0203,6358602
2008,0204,11307269.160007693
2008,0205,24114090
2008,0301,21624913
2008,0302,5145953
2008,0303,9496341
2008,0304,7300326
2008,0305,4266236.142461441
2008,0306,35074351
2008,0307,1461616
2008,0308,311170.1383502956
2008,0309,6449944.665643204
2008,0401,15109297.6512
2008,0402,40595719.48946395
2008,0403,7590002.666666666
2008,0404,12393097.524184257
2008,0405,8754480.744725063
2008,0406,12256127
2008,0407,33815.02438562589
2008,0408,10152270.714285715
2008,0501,-865082.7142857146
2008,0502,123105669.33333333
