unu,year,value,variable,unit
0802,2002,5750.82528,inflow,mass
0901,2002,21647.53272,inflow,mass
0902,2002,15997.5136,inflow,mass
1001,2002,9945.628,inflow,mass
1002,2002,-4696.11906,inflow,mass
0112,2002,8815.626697200003,inflow,mass
0701,2002,26322.896699999998,inflow,mass
0703,2002,84.8287,inflow,mass
0505,2002,5917.195963477999,inflow,mass
0310,2002,NA,inflow,mass
3001,2002,NA,inflow,mass
0101,2003,3604.46886,inflow,mass
0102,2003,41392.38576,inflow,mass
0103,2003,367118.1250100001,inflow,mass
0104,2003,115766.5608,inflow,mass
0105,2003,-750.07296,inflow,mass
0106,2003,69785.16324000001,inflow,mass
0108,2003,89473.78464,inflow,mass
0109,2003,28915.63648,inflow,mass
0111,2003,2806.7306999999996,inflow,mass
0113,2003,14203.944,inflow,mass
0114,2003,58467.89430000001,inflow,mass
0201,2003,88838.75219999999,inflow,mass
0202,2003,58046.664899999996,inflow,mass
0203,2003,9772.280566666666,inflow,mass
0204,2003,47879.439119999995,inflow,mass
0205,2003,12109.98855,inflow,mass
0301,2003,18192.1428,inflow,mass
0302,2003,18054.34506,inflow,mass
0303,2003,8400.461019999999,inflow,mass
0304,2003,5051.949560000001,inflow,mass
0305,2003,7278.99795,inflow,mass
0306,2003,-20.453400000000002,inflow,mass
0307,2003,50213.56,inflow,mass
0308,2003,13304.7954,inflow,mass
0309,2003,17741.75025,inflow,mass
0401,2003,-3258.81543,inflow,mass
0402,2003,8651.627869999998,inflow,mass
0403,2003,73970.84444,inflow,mass
0404,2003,12287.2362,inflow,mass
0405,2003,23683.633511999997,inflow,mass
0406,2003,6447.648,inflow,mass
0407,2003,17402.3529,inflow,mass
0408,2003,110363.78045,inflow,mass
0501,2003,382.79997,inflow,mass
0502,2003,5010.441691,inflow,mass
0503,2003,583.6144499999999,inflow,mass
0504,2003,1900.578264,inflow,mass
0601,2003,94536.71550666667,inflow,mass
0602,2003,27966.027810000003,inflow,mass
0801,2003,171.37241999999998,inflow,mass
0802,2003,17806.09216,inflow,mass
0901,2003,21647.53272,inflow,mass
0902,2003,23281.0173,inflow,mass
1001,2003,24121.02,inflow,mass
1002,2003,-4140.86244,inflow,mass
0112,2003,8815.626697200003,inflow,mass
0701,2003,20069.176050000002,inflow,mass
0703,2003,84.8287,inflow,mass
0505,2003,5917.195963477999,inflow,mass
0310,2003,NA,inflow,mass
3001,2003,NA,inflow,mass
0101,2004,11752.21832,inflow,mass
0102,2004,50063.09893,inflow,mass
0103,2004,349821.09708000004,inflow,mass
0104,2004,98166.34674000001,inflow,mass
0105,2004,1022.3305300000001,inflow,mass
0106,2004,84694.81926,inflow,mass
0108,2004,153295.7023,inflow,mass
0109,2004,33709.92735,inflow,mass
0111,2004,5778.0402,inflow,mass
0113,2004,29805.264,inflow,mass
0114,2004,59838.701199999996,inflow,mass
0201,2004,81569.04448000001,inflow,mass
0202,2004,50659.5427,inflow,mass
0203,2004,10191.258033333334,inflow,mass
0204,2004,61009.56175,inflow,mass
0205,2004,12529.60445,inflow,mass
0301,2004,18124.377,inflow,mass
0302,2004,37245.784159999996,inflow,mass
0303,2004,10513.866,inflow,mass
0304,2004,5769.627780000001,inflow,mass
0305,2004,6057.851537095373,inflow,mass
0306,2004,216.07945,inflow,mass
0307,2004,48985.28,inflow,mass
0308,2004,13682.855160000001,inflow,mass
0309,2004,17843.13168,inflow,mass
0401,2004,3957.41658,inflow,mass
0402,2004,8756.1858,inflow,mass
0403,2004,64661.47381333334,inflow,mass
0404,2004,51913.4278,inflow,mass
0405,2004,19972.3995,inflow,mass
0406,2004,7930.25018,inflow,mass
0407,2004,14981.48456,inflow,mass
0408,2004,115958.25779999999,inflow,mass
0501,2004,290.66848714285715,inflow,mass
0502,2004,4811.906684,inflow,mass
0503,2004,649.09965,inflow,mass
0504,2004,2392.6143279999997,inflow,mass
0601,2004,96532.31613666666,inflow,mass
0602,2004,33226.579365000005,inflow,mass
0801,2004,74.6784,inflow,mass
0802,2004,3410.92816,inflow,mass
0901,2004,21647.53272,inflow,mass
0902,2004,18634.40675,inflow,mass
1001,2004,21978.132,inflow,mass
1002,2004,-3585.6058199999998,inflow,mass
0112,2004,8815.626697200003,inflow,mass
0701,2004,13815.4554,inflow,mass
0703,2004,84.8287,inflow,mass
0505,2004,5917.195963477999,inflow,mass
0310,2004,NA,inflow,mass
3001,2004,NA,inflow,mass
0101,2005,15204.16454,inflow,mass
0102,2005,58564.11776,inflow,mass
0103,2005,317151.67757,inflow,mass
0104,2005,53551.49940000001,inflow,mass
0105,2005,4145.48952,inflow,mass
0106,2005,85439.47472,inflow,mass
0108,2005,85403.97340999999,inflow,mass
0109,2005,36778.895702300164,inflow,mass
0111,2005,7013.0487,inflow,mass
0113,2005,77672.304,inflow,mass
0114,2005,69363.62745,inflow,mass
0201,2005,83531.72630000001,inflow,mass
0202,2005,52594.836299999995,inflow,mass
0203,2005,10610.2355,inflow,mass
0204,2005,56880.817919999994,inflow,mass
0205,2005,13050.919566666667,inflow,mass
0301,2005,16722.09024,inflow,mass
0302,2005,97207.49748,inflow,mass
0303,2005,17883.96936,inflow,mass
0304,2005,5374.082340000001,inflow,mass
0305,2005,5010.546605051054,inflow,mass
0306,2005,452.61230000000006,inflow,mass
0307,2005,69638.42,inflow,mass
0308,2005,14068.185300000001,inflow,mass
0309,2005,17978.306920000003,inflow,mass
0401,2005,5164.1760300000005,inflow,mass
0402,2005,7114.54042,inflow,mass
0403,2005,55486.31506666667,inflow,mass
0404,2005,44666.9658,inflow,mass
0405,2005,16500.49512,inflow,mass
0406,2005,6953.422320000001,inflow,mass
0407,2005,16484.04309,inflow,mass
0408,2005,121494.46012142856,inflow,mass
0501,2005,198.5370042857143,inflow,mass
0502,2005,6189.153244,inflow,mass
0503,2005,445.55129999999997,inflow,mass
0504,2005,1885.4574959999998,inflow,mass
0601,2005,98509.19904,inflow,mass
0602,2005,38487.13092,inflow,mass
0801,2005,123.97067999999999,inflow,mass
0802,2005,3017.4033600000002,inflow,mass
0901,2005,-5004.48072,inflow,mass
0902,2005,13987.796199999999,inflow,mass
1001,2005,20628.553,inflow,mass
1002,2005,-9.590879999999999,inflow,mass
0112,2005,8815.626697200003,inflow,mass
0701,2005,41592.38625,inflow,mass
0703,2005,84.8287,inflow,mass
0505,2005,5917.195963477999,inflow,mass
0310,2005,NA,inflow,mass
3001,2005,NA,inflow,mass
0101,2006,25757.13622,inflow,mass
0102,2006,63108.94596,inflow,mass
0103,2006,306903.36677,inflow,mass
0104,2006,109726.48713,inflow,mass
0105,2006,406.97346000000005,inflow,mass
0106,2006,110952.25530000002,inflow,mass
0108,2006,139334.54450999998,inflow,mass
0109,2006,39844.33154022177,inflow,mass
0111,2006,11188.528199999999,inflow,mass
0113,2006,34102.008,inflow,mass
0114,2006,80082.79476,inflow,mass
0201,2006,66813.245485,inflow,mass
0202,2006,69009.579,inflow,mass
0203,2006,9385.647299999999,inflow,mass
0204,2006,58967.627094999996,inflow,mass
0205,2006,13572.234683333334,inflow,mass
0301,2006,15710.51234,inflow,mass
0302,2006,71359.71088500001,inflow,mass
0303,2006,15747.313400000001,inflow,mass
0304,2006,6916.175029999999,inflow,mass
0305,2006,3949.730227012276,inflow,mass
0306,2006,1595.88774,inflow,mass
0307,2006,90291.56,inflow,mass
0308,2006,14453.51544,inflow,mass
0309,2006,22070.3122,inflow,mass
0401,2006,6555.19917,inflow,mass
0402,2006,6313.236930000001,inflow,mass
0403,2006,46445.368200000004,inflow,mass
0404,2006,42507.2981,inflow,mass
0405,2006,20230.661640000002,inflow,mass
0406,2006,6033.0338600000005,inflow,mass
0407,2006,9728.856,inflow,mass
0408,2006,127025.2982142857,inflow,mass
0501,2006,106.40552142857146,inflow,mass
0502,2006,8874.100349999999,inflow,mass
0503,2006,269.59709999999995,inflow,mass
0504,2006,1812.441176,inflow,mass
0601,2006,117482.46048000001,inflow,mass
0602,2006,54668.61869,inflow,mass
0801,2006,207.081,inflow,mass
0802,2006,2845.7809600000005,inflow,mass
0901,2006,28773.839279999997,inflow,mass
0902,2006,13420.86128,inflow,mass
1001,2006,19278.974,inflow,mass
1002,2006,4648.16466,inflow,mass
0112,2006,8815.626697200003,inflow,mass
0701,2006,45293.5008,inflow,mass
0703,2006,84.8287,inflow,mass
0505,2006,5917.195963477999,inflow,mass
0310,2006,NA,inflow,mass
3001,2006,NA,inflow,mass
0101,2007,29590.638260000003,inflow,mass
0102,2007,49738.85189,inflow,mass
0103,2007,293511.20344,inflow,mass
0104,2007,130946.69685,inflow,mass
0105,2007,-9461.8768,inflow,mass
0106,2007,103461.81460000001,inflow,mass
0108,2007,132600.88056000002,inflow,mass
0109,2007,42923.67873157557,inflow,mass
0111,2007,9733.218,inflow,mass
0113,2007,45867.168,inflow,mass
0114,2007,93484.7235,inflow,mass
0201,2007,51393.9699,inflow,mass
0202,2007,68082.64540449793,inflow,mass
0203,2007,6181.812,inflow,mass
0204,2007,61088.6347,inflow,mass
0205,2007,14093.5498,inflow,mass
0301,2007,11805.404849999999,inflow,mass
0302,2007,46101.9468,inflow,mass
0303,2007,15341.084859999999,inflow,mass
0304,2007,75430.1952,inflow,mass
0305,2007,2976.3665952639594,inflow,mass
0306,2007,3483.3368699999996,inflow,mass
0307,2007,43425.6,inflow,mass
0308,2007,14838.84558,inflow,mass
0309,2007,26255.78417,inflow,mass
0401,2007,6223.912626984,inflow,mass
0402,2007,10052.53184,inflow,mass
0403,2007,37538.633213333334,inflow,mass
0404,2007,39223.64046006717,inflow,mass
0405,2007,23752.29456,inflow,mass
0406,2007,7382.900799999999,inflow,mass
0407,2007,-202.12776000000002,inflow,mass
0408,2007,132550.7720785714,inflow,mass
0501,2007,14.274038571428576,inflow,mass
0502,2007,8331.609457999999,inflow,mass
0503,2007,239.35634999999996,inflow,mass
0504,2007,1392.715584,inflow,mass
0601,2007,105588.31432499998,inflow,mass
0602,2007,118572.31281,inflow,mass
0801,2007,289.54656,inflow,mass
0802,2007,-1021.2873600000001,inflow,mass
0901,2007,18633.29064,inflow,mass
0902,2007,19453.630794999997,inflow,mass
1001,2007,17929.395,inflow,mass
1002,2007,5280.28665,inflow,mass
0112,2007,8815.626697200003,inflow,mass
0701,2007,42905.74444722,inflow,mass
0703,2007,84.8287,inflow,mass
0505,2007,5917.195963477999,inflow,mass
0310,2007,NA,inflow,mass
3001,2007,NA,inflow,mass
0101,2008,16285.53012,inflow,mass
