sector,year,value,source,target
Packaging ,2037,1255957.270487266,WG,la_collected_household
Packaging ,2037,502382.90819490637,WG,la_collected_other
Packaging ,2037,502382.90819490637,WG,wmc_collected
Packaging ,2038,1257509.1107164763,WG,la_collected_household
Packaging ,2038,503003.64428659057,WG,la_collected_other
Packaging ,2038,503003.64428659057,WG,wmc_collected
Packaging ,2039,1258996.3014386792,WG,la_collected_household
Packaging ,2039,503598.5205754717,WG,la_collected_other
Packaging ,2039,503598.5205754717,WG,wmc_collected
Packaging ,2040,1260412.9802378702,WG,la_collected_household
Packaging ,2040,504165.19209514814,WG,la_collected_other
Packaging ,2040,504165.19209514814,WG,wmc_collected
Packaging ,2041,1261751.2684185377,WG,la_collected_household
Packaging ,2041,504700.5073674151,WG,la_collected_other
Packaging ,2041,504700.5073674151,WG,wmc_collected
Packaging ,2042,1263010.3721401372,WG,la_collected_household
Packaging ,2042,505204.14885605493,WG,la_collected_other
Packaging ,2042,505204.14885605493,WG,wmc_collected
Packaging ,2012,238719.48276564386,WG,litter
Packaging ,2013,226660.20029635634,WG,litter
Packaging ,2014,221630.299511584,WG,litter
Packaging ,2015,225083.7287475504,WG,litter
Packaging ,2016,225317.40944407135,WG,litter
Packaging ,2017,225324.22713404638,WG,litter
Packaging ,2018,234766.18375843437,WG,litter
Packaging ,2019,245752.9390155105,WG,litter
Packaging ,2020,248185.21202903287,WG,litter
Packaging ,2021,250533.28259584913,WG,litter
Packaging ,2022,225499.32986384793,WG,litter
Packaging ,2023,241422.34954687767,WG,litter
Packaging ,2024,243892.01370632695,WG,litter
Packaging ,2025,245138.293169328,WG,litter
Packaging ,2026,246077.75761662936,WG,litter
Packaging ,2027,246732.17916705133,WG,litter
Packaging ,2028,247333.24486349057,WG,litter
Packaging ,2029,247895.73587325588,WG,litter
Packaging ,2030,248420.65283396142,WG,litter
Packaging ,2031,248909.27282027574,WG,litter
Packaging ,2032,249362.11329478817,WG,litter
Packaging ,2033,249780.40563245257,WG,litter
Packaging ,2034,250166.40028231824,WG,litter
Packaging ,2035,250526.3101170673,WG,litter
Packaging ,2036,250866.96014883416,WG,litter
Packaging ,2037,251191.45409745304,WG,litter
Packaging ,2038,251501.8221432953,WG,litter
Packaging ,2039,251799.26028773608,WG,litter
Packaging ,2040,252082.5960475742,WG,litter
Packaging ,2041,252350.2536837072,WG,litter
Packaging ,2042,252602.0744280275,WG,litter
Packaging ,2012,656478.5776055211,la_collected_household,treated_overseas
Packaging ,2012,59679.870691411,la_collected_household,mismanaged
Packaging ,2012,477438.965531288,la_collected_household,formal_domestic_treatment
Packaging ,2012,262591.43104220845,la_collected_other,treated_overseas
Packaging ,2012,23871.948276564402,la_collected_other,mismanaged
Packaging ,2012,190975.58621251522,la_collected_other,formal_domestic_treatment
Packaging ,2012,262591.43104220845,wmc_collected,treated_overseas
Packaging ,2012,23871.948276564402,wmc_collected,mismanaged
Packaging ,2012,190975.58621251522,wmc_collected,formal_domestic_treatment
Packaging ,2013,623315.55081498,la_collected_household,treated_overseas
Packaging ,2013,56665.050074089086,la_collected_household,mismanaged
Packaging ,2013,453320.4005927127,la_collected_household,formal_domestic_treatment
Packaging ,2013,249326.220325992,la_collected_other,treated_overseas
Packaging ,2013,22666.020029635634,la_collected_other,mismanaged
Packaging ,2013,181328.16023708507,la_collected_other,formal_domestic_treatment
Packaging ,2013,249326.220325992,wmc_collected,treated_overseas
Packaging ,2013,22666.020029635634,wmc_collected,mismanaged
Packaging ,2013,181328.16023708507,wmc_collected,formal_domestic_treatment
Packaging ,2014,609483.3236568562,la_collected_household,treated_overseas
Packaging ,2014,55407.57487789601,la_collected_household,mismanaged
Packaging ,2014,443260.5990231681,la_collected_household,formal_domestic_treatment
Packaging ,2014,243793.32946274246,la_collected_other,treated_overseas
Packaging ,2014,22163.029951158405,la_collected_other,mismanaged
Packaging ,2014,177304.23960926724,la_collected_other,formal_domestic_treatment
Packaging ,2014,243793.32946274246,wmc_collected,treated_overseas
Packaging ,2014,22163.029951158405,wmc_collected,mismanaged
Packaging ,2014,177304.23960926724,wmc_collected,formal_domestic_treatment
Packaging ,2015,618980.2540557634,la_collected_household,treated_overseas
Packaging ,2015,56270.93218688758,la_collected_household,mismanaged
Packaging ,2015,450167.4574951006,la_collected_household,formal_domestic_treatment
