BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,Licensed,SORN,Electric motor_Electric motor type,Electric motor_Location of the motor,Electric motor_Power,Electric motor_Torque,Second electric motor_Motor type,Second electric motor_Location,Second electric motor_Power,Second electric motor_Torque,Second electric motor_Regenerative braking
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2020,2020,4756,36,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),375 Nm (newton meters)38.2 kgm (kilogram meters)276.6 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2020,2020,4756,36,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2020,2020,4756,36,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2020,2020,6425,49,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),375 Nm (newton meters)38.2 kgm (kilogram meters)276.6 ft-lb (foot-pounds),,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2020,2020,6425,49,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 STANDARD RANGE +,2020,2020,6425,49,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,,,,,
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
