no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"1","EA","ER222019174","Aluminium","S","Avon Metals Limited","4135396","Active","26/09/2022","26/09/2022","Accredited Reprocessors","Ashville Road GLOUCESTER Gloucestershire GL2 5DA","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER222014105","Aluminium","S","JBMI Group Ltd","07176945","Active","01/01/2022","01/01/2022","Accredited Reprocessors","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER222019142","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","13/01/2022","13/01/2022","Accredited Reprocessors","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER22199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER222009212","Aluminium","L","Tandom Metallurgical Group Ltd","06661279","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"6","NRW","WR221998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2022","01/01/2022","Accredited Reprocessors","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"7","EA","ER222019121","Glass Other","L","Brinklow Quarry Ltd","06765411","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Brinklow Quarry BRINKLOW Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
"8","EA","ER222013135","Glass Other","L","Day Group Ltd","00432417","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Transport Avenue BRENTFORD Middlesex TW8 9HF","R5 Recycling/reclamation of other inorganic materials"
"9","EA","ER222013149","Glass Other","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2022","01/01/2022","Accredited Reprocessors","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"10","EA","ER222013153","Glass Other","L","Green Future Recycling Ltd","4505243","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Old Brickworks Site BLACKPOOL Lancs FY4 5JX","R5 Recycling/reclamation of other inorganic materials"
"11","EA","ER222014131","Glass Other","L","J. A . Jackson Contractors (Preston)
Ltd","0905981","Active","01/01/2022","01/01/2022","Accredited Reprocessors","BRADLEYS SANDPIT PRESTON LANCS PR4 0AP","R5 Recycling/reclamation of other inorganic materials"
"12","EA","ER222020227","Glass Other","L","Johnsons Aggregates and Recycling
Ltd","4366658","Active","01/01/2022","07/11/2022","Accredited Reprocessors","Johnsons Aggregates and Recycling Ltd ILKESTON DERBYSHIRE DE7 4BG","R5 Recycling/reclamation of other inorganic materials"
"13","EA","ER222020256","Glass Other","L","Johnsons Aggregates and Recycling
Ltd","4366658","Active","01/01/2022","07/11/2022","Accredited Reprocessors","Johnsons Aggregates And Recycling Ltd NOTTINGHAM NG11 6QN","R5 Recycling/reclamation of other inorganic materials"
"14","EA","ER222022138","Glass Other","L","Northern Waste Group Ltd","09168466","Active","17/10/2022","17/10/2022","Accredited Reprocessors","Unit 4 Park Farm Road NORTH LINCOLNSHIRE DN15 8QP","R5 Recycling/reclamation of other inorganic materials"
"15","EA","ER222017124","Glass Other","L","NRS Waste Management Services
Ltd","06730643","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Birmingham Road COVENTRY WARKS CV7 7JS","R5 Recycling/reclamation of other inorganic materials"
"16","EA","ER222022107","Glass Other","L","Prestige Aggregates Ltd","08217871","Active","04/01/2022","04/01/2022","Accredited Reprocessors","Prestige Aggregates Ltd MALTBY, Rotherham S66 7QR","R5 Recycling/reclamation of other inorganic materials"
"17","EA","ER222013144","Glass Other","L","Recresco Ltd (3)","4066165","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"18","EA","ER222021166","Glass Other","L","Sibelco Green Solutions UK Ltd","01009716","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Sheffield Glass Recycling Works SHEFFIELD South Yorkshire S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"19","EA","ER222014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"20","EA","ER222021168","Glass Other","L","Syracuse Waste Ltd","13269384","Active","01/01/2022","01/01/2022","Accredited Reprocessors","Ford Materials Recycling Facility ARUNDEL West Sussex BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
