no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"1","EA","ER142014105","Aluminium","L","JBMI Group Ltd","07176945","Active","01/01/2014","01/01/2014","Accredited Reprocessors","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER142001791","Aluminium","S","Mil-Ver Metal Co Ltd","1634739","Active","01/01/2014","11/03/2019","Accredited Reprocessors","Coronel Ave COVENTRY West Midlands CV6 6AP","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER14199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"4","EA","ER142009212","Aluminium","S","Tandom Metallurgical Group Ltd","06661279","Active","23/05/2014","23/05/2014","Accredited Reprocessors","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"5","NRW","WR141998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2014","01/01/2014","Accredited Reprocessors","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"6","EA","ER142009161","EfW","L","Kent Enviropower Limited","2894377","Active","14/01/2014","14/01/2014","Accredited Reprocessors","Kent Enviropower Ltd MAIDSTONE Kent ME16 0LE","R1 Use principally as a fuel or other means to generate energy"
"7","EA","ER14199816","EfW","L","London Waste Limited","2732548","Active","01/01/2014","01/01/2014","Accredited Reprocessors","EcoPark LONDON N18 3AG","R1 Use principally as a fuel or other means to generate energy"
"8","EA","ER14199847","EfW","L","Slough Heat and Power Ltd","00174142","Active","07/03/2014","07/03/2014","Accredited Reprocessors","342 Edinburgh Avenue SLOUGH Berks SL1 4TU","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER142014111","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER142002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"11","EA","ER14199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
"12","EA","ER14199838","EfW","L","Veolia ES Birmingham Ltd","02692681","Active","15/04/2014","15/04/2014","Accredited Reprocessors","James Road BIRMINGHAM B11 2BA","R1 Use principally as a fuel or other means to generate energy"
"13","EA","ER142010111","EfW","L","VEOLIA ES SHEFFIELD LIMITED","03709317","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Bernard Road Service Centre SHEFFIELD South Yorkshire S4 7YX","R1 Use principally as a fuel or other means to generate energy"
"14","EA","ER141998289","EfW","L","Viridor Waste (Greater Manchester)
Limited","2705057","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Bolton Thermal Recovery Facility BOLTON Lancashire BL3 1SW","R1 Use principally as a fuel or other means to generate energy"
"15","EA","ER142014165","EfW","L","Viridor Waste Management Ltd
(Ardley)","0575069","Active","21/10/2014","21/10/2014","Accredited Reprocessors","Ardley Energy from Waste Facility ARDLEY Oxfordshire OX27 7PH","R1 Use principally as a fuel or other means to generate energy"
"16","NRW","WR142008110","EfW","S","Marlin Industries (Wrexham) Ltd","2831738","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Davy Way WREXHAM WREXHAM LL12 0PG","R1 Use principally as a fuel or other means to generate energy"
"17","NRW","WR142014707","EfW","L","Viridor Resource Management
Limited","0575069","Active","17/10/2014","17/10/2014","Accredited Reprocessors","TRIDENT PARK EfW CARDIFF CF24 5EN","R1 Use principally as a fuel or other means to generate energy"
"18","NIEA","NR142007006","EfW","S","Eglinton (Timber Products) Ltd","NI019444","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Eglinton (Timber Products) Ltd EGLINTON Co Londonderry BT47 3PY","R1 Use principally as a fuel or other means to generate energy"
"19","EA","ER142014107","Glass Other","L","Brinklow Quarry","","Active","01/01/2014","01/01/2014","Accredited Reprocessors","Highwood Farm RUGBY Warwickshire CV23 0NJ","R5 Recycling/reclamation of other inorganic materials"
