no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"27","EA","ER162014151","Glass Other","L","Stacey Processing Ltd","4446433","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Ryder Point Works MATLOCK Derbyshire DE4 4HE","R5 Recycling/reclamation of other inorganic materials"
"28","EA","ER162016155","Glass Other","L","Thomas Bros Ltd","04540471","Active","09/09/2016","09/09/2016","Accredited Reprocessors","Cainhoe Quarry SHEFFORD Bedfordshire SG17 5PJ","R5 Recycling/reclamation of other inorganic materials"
"29","EA","ER162013146","Glass Other","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"30","EA","ER162013113","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"31","EA","ER162013119","Glass Other","L","Viridor Waste Management Ltd","0575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","FORD MRF ARUNDEL WEST SUSSEX BN18 0FL","R5 Recycling/reclamation of other inorganic materials"
"32","EA","ER162013129","Glass Other","L","Viridor Waste Management Ltd","00575069","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Crayford Materials Recycling Facility DARTFORD Kent DA1 4HQ","R5 Recycling/reclamation of other inorganic materials"
"33","EA","ER162013164","Glass Other","L","Ward Recycling Limited","4373217","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Ward Recycling Limited MIDDLESBROUGH Cleveland TS6 6TX","R5 Recycling/reclamation of other inorganic materials"
"34","EA","ER162014166","Glass Other","L","Yorwaste Ltd","02666908","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Seamer Carr Waste Management Facility SCARBOROUGH Scarborough YO12 4QA","R5 Recycling/reclamation of other inorganic materials"
"35","NRW","WR162013151","Glass Other","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"36","NRW","WR162013142","Glass Other","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"37","NIEA","NR162013106","Glass Other","L","Enva Northern Ireland Ltd","NI017996","Active","01/01/2016","01/01/2016","Accredited Reprocessors","52 Creagh Road TOOMEBRIDGE Antrim BT413SE","R5 Recycling/reclamation of other inorganic materials"
"38","NIEA","NR162013105","Glass Other","L","Re-Gen Limited","NI 44110","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Unit 7 Shepherd's Drive, NEWRY Down BT35 6JQ","R5 Recycling/reclamation of other inorganic materials"
"39","NIEA","NR162016106","Glass Other","L","Re-Gen Waste Ltd","NI44110","Active","18/10/2016","18/10/2016","Accredited Reprocessors","50- 52 School Road NEWRY Co Down BT35 8RX","R5 Recycling/reclamation of other inorganic materials"
"40","NIEA","NR162016102","Glass Other","L","T&J Recycling T/A Barrett Recycling","NI611006","Active","11/04/2016","11/04/2016","Accredited Reprocessors","128 Eglish Rd DUNGANNON Tyrone BT701LB","R5 Recycling/reclamation of other inorganic materials"
"41","SEPA","SR162016102","Glass Other","L","Allglass Reprocessors (UK) Limited","SC226505","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Allglass Reprocessors (UK) Ltd LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"42","SEPA","SR162014103","Glass Other","L","Dryden Aqua Ltd","SC072700","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"43","SEPA","SR162013106","Glass Other","L","Enva Scotland Limited","SC057052","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","49 Burnbrae Rd, Linwood Industrial Estate LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"44","SEPA","SR162013102","Glass Other","S","Shetland Amenity Trust","SC017505","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Enviroglass CUNNINGSBURGH Shetland ZE2 9HB","R5 Recycling/reclamation of other inorganic materials"
"45","SEPA","SR162013108","Glass Other","S","Viridor Waste Management Limited","0575069","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","5 Dalhousie Business Park BONNYRIGG Midlothian EH19 3HY","R5 Recycling/reclamation of other inorganic materials"
"46","SEPA","SR162015102","Glass Other","L","Viridor Waste Management Limited","0575069","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Mossband Farm NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"47","EA","ER162013126","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Doncaster Plant DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"48","EA","ER162013127","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","BARNSLEY PLANT BARNSLEY South Yorkshire S71 2QG","R5 Recycling/reclamation of other inorganic materials"
"49","EA","ER162013128","Glass Re-melt","L","Ardagh Glass Limited","00567801","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Knottingley Plant KNOTTINGLEY West Yorkshire WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"50","EA","ER162013109","Glass Re-melt","L","Beatson Clark Limited","00110186","Active","01/01/2016","01/01/2016","Accredited Reprocessors","The Glassworks ROTHERHAM South Yorkshire S60 1TZ","R5 Recycling/reclamation of other inorganic materials"
"51","EA","ER162013154","Glass Re-melt","L","Encirc Limited","NI 30990","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Encirc Business Park ELTON Cheshire CH2 4LF","R5 Recycling/reclamation of other inorganic materials"
"52","EA","ER162015121","Glass Re-melt","L","Glass Recycling (UK) Ltd","1169515","Active","01/01/2016","01/01/2016","Accredited Reprocessors","418 carlton road BARNSLEY south yorks S71 3HX","R5 Recycling/reclamation of other inorganic materials"
"53","EA","ER162013118","Glass Re-melt","S","Knauf Insulation Ltd","1926842","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Kanuf Insulation ST HELENS Merseyside WA10 3LZ","R5 Recycling/reclamation of other inorganic materials"
"54","EA","ER162013136","Glass Re-melt","L","O-I Glass Ltd","00526983","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Edinburgh Way HARLOW Essex CM20 2UG","R5 Recycling/reclamation of other inorganic materials"
"55","EA","ER162015103","Glass Re-melt","L","Recresco Limited (London)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco London SWANSCOMBE Kent DA10 0LL","R5 Recycling/reclamation of other inorganic materials"
"56","EA","ER162015106","Glass Re-melt","L","Recresco Ltd (3)","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Ltd KIRKBY-IN-ASHFIELD Nottinghamshire NG17 8AP","R5 Recycling/reclamation of other inorganic materials"
"57","EA","ER162013163","Glass Re-melt","S","Recycled Glass Company Ltd","4577696","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Unit 1 HIGHBRIDGE Somerset TA9 4AG","R5 Recycling/reclamation of other inorganic materials"
"58","EA","ER162015126","Glass Re-melt","L","Reuse Glass UK Ltd T/A Berryman","3578299","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Barnby Dun Rd DONCASTER South Yorkshire DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"59","EA","ER162015112","Glass Re-melt","L","Reuse Glass Uk Ltd T/A Berrymans","3578299","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Headlands Lane KNOTTINGLEY West Yorks WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"60","EA","ER162013155","Glass Re-melt","L","Stoelzle Flaconnage Limited","2973822","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Stoelzle Flaconnage Limited KNOTTINGLEY West Yorkshire WF11 8AP","R5 Recycling/reclamation of other inorganic materials"
"61","EA","ER162016162","Glass Re-melt","L","URM (UK) Ltd t/a Berrymans","4084246","Active","03/11/2016","03/11/2016","Accredited Reprocessors","BARNBY DUN ROAD DONCASTER SOUTH YORKSHIRE DN2 4RH","R5 Recycling/reclamation of other inorganic materials"
"62","EA","ER162015124","Glass Re-melt","L","URM UK Ltd t/a Berryman","4084246","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Lidgate Crescent SOUTH KIRKBY West Yorkshire WF9 3NR","R5 Recycling/reclamation of other inorganic materials"
"63","EA","ER162016161","Glass Re-melt","L","URM UK Ltd T/A Berrymans","4084246","Active","18/11/2016","18/11/2016","Accredited Reprocessors","Headlands Lane KNOTTINGLEY WEST YORKSHIRE WF11 0HP","R5 Recycling/reclamation of other inorganic materials"
"64","EA","ER162013121","Glass Re-melt","L","Verallia UK Ltd","3846688","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Fernley Green Road KNOTTINGLEY West Yorkshire WF11 8DJ","R5 Recycling/reclamation of other inorganic materials"
"65","EA","ER162013122","Glass Re-melt","L","Verallia UK Ltd","3846688","Active","01/01/2016","01/01/2016","Accredited Reprocessors","South Accommodation Road LEEDS West Yorkshire LS10 1NQ","R5 Recycling/reclamation of other inorganic materials"
"66","EA","ER162016126","Glass Re-melt","L","Viridor Waste Management Ltd","0575069","Active","16/02/2016","16/02/2016","Accredited Reprocessors","SALMON PASTURES SHEFFIELD YORKSHIRE S4 7WT","R5 Recycling/reclamation of other inorganic materials"
"67","EA","ER162014167","Glass Re-melt","S","Vitromite Ltd","08783711","Active","01/01/2016","01/01/2016","Accredited Reprocessors","H4 Former RAF Coltishall Badersfield Scottow NORWICH Norfolk NR105AJ","R5 Recycling/reclamation of other inorganic materials"
"68","NRW","WR162016701","Glass Re-melt","L","Glass Tech Recycling Ltd","07479819","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Roberts Road SWANSEA City & County of Swansea SA1 1QR","R5 Recycling/reclamation of other inorganic materials"
"69","NRW","WR162013111","Glass Re-melt","S","Knauf Insulation Ltd","1926842","Active","01/01/2016","01/01/2016","Accredited Reprocessors","KNAUF INSULATION LTD CWMBRAN TORFAEN NP44 2YQ","R5 Recycling/reclamation of other inorganic materials"
"70","NRW","WR162015701","Glass Re-melt","L","Recresco Limited - Cwmbran","4066165","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Recresco Limited CWMBRAN Torfaen NP44 5BE","R5 Recycling/reclamation of other inorganic materials"
"71","NIEA","NR162013104","Glass Re-melt","L","Encirc Ltd","NI 30990","Active","01/01/2016","01/01/2016","Accredited Reprocessors","11 Gortahurk Road DERRYLIN Fermanagh BT92 9DD","R5 Recycling/reclamation of other inorganic materials"
"72","SEPA","SR162016101","Glass Re-melt","L","Allglass Reprocessors (UK) Limited","SC226505","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Allglass Reprocessors (UK) Ltd LINWOOD Renfrewshire PA3 3BD","R5 Recycling/reclamation of other inorganic materials"
"73","SEPA","SR162013103","Glass Re-melt","L","Ardagh Glass Ltd","00567801","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Irvine Plant IRVINE KA12 8JA","R5 Recycling/reclamation of other inorganic materials"
"74","SEPA","SR162014102","Glass Re-melt","L","Dryden Aqua Ltd","SC072700","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Butlerfield Industrial Estate BONNYRIGG Midlothian EH19 3JQ","R5 Recycling/reclamation of other inorganic materials"
"75","SEPA","SR162013101","Glass Re-melt","L","O-I Glass Ltd","00526983","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Glasshouse Loan ALLOA Clackmannanshire FK10 1PD","R5 Recycling/reclamation of other inorganic materials"
"76","SEPA","SR162013104","Glass Re-melt","L","Superglass Insulation Limited","2160591","Cancelled","01/01/2016","01/02/2017","Accredited Reprocessors","Superglass Insulation Ltd. STIRLING FK7 7QQ","R5 Recycling/reclamation of other inorganic materials"
"77","SEPA","SR162016103","Glass Re-melt","L","Viridor Waste Management Limited","0575069","Cancelled","27/05/2016","01/02/2017","Accredited Reprocessors","Mossband Farm NEWHOUSE Lanarkshire ML1 5ST","R5 Recycling/reclamation of other inorganic materials"
"78","EA","ER16199864","Paper/board","L","DS Smith Paper Limited","00058614","Active","01/01/2016","01/01/2016","Accredited Reprocessors","DS SMITH PAPER LTD STTTINGBOURNE KENT ME10 2TD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"79","EA","ER161998133","Paper/board","L","Preston Board & Packaging Ltd","1567779","Active","01/01/2016","11/03/2016","Accredited Reprocessors","Romiley Board Mill STOCKPORT Cheshire SK6 4DZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"80","EA","ER162011114","Paper/board","L","SAICA Paper UK Ltd","06569569","Active","01/01/2016","01/01/2016","Accredited Reprocessors","144 Manchester Road MANCHESTER M31 4QN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"81","EA","ER1619988","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Smurfit Kappa SSK Ltd BIRMINGHAM B7 5RE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"82","EA","ER162015111","Paper/board","L","Smurfit Kappa UK Ltd","1017013","Active","01/01/2016","01/01/2016","Accredited Reprocessors","The Mill SNODLAND Kent ME6 5AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"83","EA","ER16199890","Paper/board","L","Sonoco Cores and Paper Ltd","5133800","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Sonoco Board Mills STAINLAND West Yorkshire HX4 9PY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"84","NRW","WR161998205","Paper/board","L","UPM Kymmene (UK) Ltd","SC102969","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Weighbridge Road DEESIDE Flintshire CH5 2LL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"85","EA","ER161998256","Plastic","S","Alfaplas Ltd","03171362","Active","01/01/2016","01/01/2016","Accredited Reprocessors","1 Ramsden Road HEREFORD Herefordshire HR2 6LR","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"86","EA","ER161998142","Plastic","S","Alpha Polymers Ltd","1543079","Active","08/03/2016","08/03/2016","Accredited Reprocessors","1 Costain Street LIVERPOOL Merseyside L20 8QJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"87","EA","ER162013191","Plastic","L","Avanti Environmental Group Ltd","3476148","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Avanti Environmetal Group Limited KNOWSLEY Merseyside L33 7UF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"88","EA","ER162016143","Plastic","L","B S Plastics Ltd","09350237","Active","30/05/2016","30/05/2016","Accredited Reprocessors","52 CHURCH ROAD BIRMINGHAM WEST MIDLANDS B42 2LB","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"89","EA","ER161998221","Plastic","L","Biffa (WES) Limited (REDCAR)","2729607","Active","01/01/2016","01/01/2016","Accredited Reprocessors","WES Building REDCAR Cleveland TS10 4RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"90","EA","ER162011103","Plastic","L","Brightgreen Plastics Ltd","7289595","Active","01/01/2016","01/01/2016","Accredited Reprocessors","ALLERTON BYWATER BUSINESS PARK CASTLEFORD WEST YORKS WF10 2AL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"91","EA","ER16199873","Plastic","L","British Polythene Limited","0350729","Active","01/01/2016","01/01/2016","Accredited Reprocessors","BPI Recycled Products STROUD Gloucestershire GL5 3QF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"92","EA","ER16199871","Plastic","L","British Polythene Ltd","0350729","Active","01/01/2016","01/01/2016","Accredited Reprocessors","BPI Recycled Products HEANOR Derbyshire DE75 7RG","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"93","EA","ER16199854","Plastic","L","Centriforce Products Ltd","3347875","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Errington Works LIVERPOOL Merseyside L20 8EE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"94","EA","ER16199819","Plastic","L","Chase Plastics Ltd","1593735","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Mile End Works BRANDON Suffolk IP27 0NE","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"95","EA","ER162016103","Plastic","L","CKN Holdings Limited","02560812","Suspended","01/01/2016","26/07/2016","Accredited Reprocessors","Unit 5 MARKET RASEN Lincolnshire LN8 6HF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"96","EA","ER162016160","Plastic","L","Clean Tech UK Ltd","10445078","Active","23/11/2016","23/11/2016","Accredited Reprocessors","Hemswell Business Park HEMSWELL Lincolnshire DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"97","EA","ER16199829","Plastic","S","Coveris Flexibles (Gainsborough)
UK Ltd (T/A Coveris Winsford)","04786458","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Coveris Flexibles (Gainsborough) UK Ltd (T/A Coveris Winsford) WINSFORD Cheshire CW7 3RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"98","EA","ER161998228","Plastic","S","Coveris Flexibles (Louth) UK Ltd","00815053","Active","01/01/2016","01/01/2016","Accredited Reprocessors","101 brackenborough road LOUTH LINCS LN11 0AX","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"99","EA","ER162014152","Plastic","L","Echo Packaging Ltd","02717201","Active","15/01/2016","15/01/2016","Accredited Reprocessors","Sondes Road CORBY Northamptonshire NN17 5XL","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"100","EA","ER162014159","Plastic","L","Ecotech London Ltd","08573291","Cancelled","01/01/2016","18/10/2016","Accredited Reprocessors","Fairview Industrial Estate RAINHAM Essex RM13 8UH","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"101","EA","ER162013198","Plastic","L","Enva Plastics Ltd","04975936","Active","01/01/2016","01/01/2016","Accredited Reprocessors","SOUTH FEN ROAD BOURNE LINCS PE10 0DN","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"102","EA","ER162014168","Plastic","L","Evolve Polymers Limited","9343045","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Hemswell Business Park HEMSWELL Lincoln DN21 5TU","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"103","EA","ER16199846","Plastic","L","Frank Mercer & Sons Ltd","1370465","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Chequerbent Works BOLTON GT Manchester BL5 3JF","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"104","EA","ER161998218","Plastic","S","Gelpack Industrial Ltd","2251996","Active","20/06/2016","27/07/2016","Accredited Reprocessors","UNIT 4 MADLEY HEREFORDSHIRE HR2 9NQ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"105","EA","ER162014157","Plastic","S","Hahn Plastics Ltd","08268517","Active","01/01/2016","29/03/2016","Accredited Reprocessors","Pilkington Site MANCHESTER Greater Manchester M27 8LJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"106","EA","ER162008114","Plastic","L","J. and A. Young (Leicester) Ltd","1222186","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Cotton Way LOUGHBOROUGH Leicestershire LE11 5FJ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"107","EA","ER162010107","Plastic","L","J. and A. Young (Leicester) Ltd","01222186","Active","01/01/2016","01/01/2016","Accredited Reprocessors","15 Saxon Way East CORBY Northamptonshire NN18 9EY","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"108","EA","ER162013196","Plastic","L","J. and A. Young (Leicester) Ltd","01222186","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Building 32 and 36 LOUGHBOROUGH Leicestershire LE11 5RD","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
"109","EA","ER162014133","Plastic","S","Jason Plastics Ltd","1062457","Active","01/01/2016","01/01/2016","Accredited Reprocessors","Prettywood BURY Lancs BL9 7HZ","R3 Recycling/reclamation of organic substances which are not used as solvents (including composting and other biological transformation processes)"
