no.,agency,accreditation_number,material_process,size*,accredited_organisation,reg._no.,status,active_date,last_changed,type,site_address,classification_of_operation
"1","EA","ER182014105","Aluminium","L","JBMI Group Ltd","07176945","Active","01/01/2018","01/01/2018","Accredited Reprocessors","JBM Group Ltd STAFFORD Staffordshire ST18 0PY","R4 Recycling/reclamation of metals and metal compounds"
"2","EA","ER18199861","Aluminium","L","Novelis UK Ltd","00279596","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Latchford Locks Works WARRINGTON Cheshire WA4 1NN","R4 Recycling/reclamation of metals and metal compounds"
"3","EA","ER182009212","Aluminium","L","Tandom Metallurgical Group Ltd","06661279","Active","04/01/2018","04/01/2018","Accredited Reprocessors","Radnor Park Industrial Estate CONGLETON Cheshire CW12 4XE","R4 Recycling/reclamation of metals and metal compounds"
"4","NRW","WR181998189","Aluminium","L","Swan Alloy UK Ltd","03221771","Active","01/01/2018","01/01/2018","Accredited Reprocessors","SWAN ALLOY UK LTD. SWANSEA SWANSEA SA5 4SF","R4 Recycling/reclamation of metals and metal compounds"
"5","EA","ER182017112","EfW","L","FCC Environment (Lincolnshire) Ltd","07418620","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Paving Way NORTH HYKEHAM Lincolnshire LN6 3QW","R1 Use principally as a fuel or other means to generate energy"
"6","EA","ER182016128","EfW","L","Lakeside Energy From Waste Ltd","3861722","Active","01/01/2018","01/01/2018","Accredited Reprocessors","LAKESIDE ENERGY FROM WASTE LTD COLNBROOK Berkshire SL3 0FE","R1 Use principally as a fuel or other means to generate energy"
"7","EA","ER182016102","EfW","L","South East London Combined Heat
and Power Ltd","03294518","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Veolia SELCHP LONDON London SE14 5RS","R1 Use principally as a fuel or other means to generate energy"
"8","EA","ER182002392","EfW","L","SUEZ Recycling and Recovery
Kirklees Ltd","03497105","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Diamond Street HUDDERSFIELD West Yorkshire HD1 6NT","R1 Use principally as a fuel or other means to generate energy"
"9","EA","ER182015118","EfW","L","SUEZ Recycling and Recovery
Suffolk Ltd","07346155","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Suffolk Energy from Waste Plant GREAT BLAKENHAM Suffolk IP6 0JE","R1 Use principally as a fuel or other means to generate energy"
"10","EA","ER18199866","EfW","L","SUEZ Recycling and Recovery Tees
Valley Ltd","02669578","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Energy from Waste Plant Lines 1 to 5 BILLINGHAM Cleveland TS23 1PY","R1 Use principally as a fuel or other means to generate energy"
"11","EA","ER18199838","EfW","L","Veolia ES Birmingham Ltd","02692681","Active","01/01/2018","01/01/2018","Accredited Reprocessors","James Road BIRMINGHAM B11 2BA","R1 Use principally as a fuel or other means to generate energy"
"12","EA","ER182016108","EfW","L","VEOLIA ES SHEFFIELD LIMITED","03709317","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Bernard Road Service Centre SHEFFIELD South Yorkshire S4 7YX","R1 Use principally as a fuel or other means to generate energy"
"13","EA","ER182016110","EfW","L","Viridor Peterborough Ltd","08254147","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Fourth Drove PETERBOROUGH Cambridgeshire PE1 5UR","R1 Use principally as a fuel or other means to generate energy"
"14","EA","ER182014165","EfW","L","Viridor Waste Management Ltd
(Ardley)","0575069","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Ardley Energy from Waste Facility ARDLEY Oxfordshire OX27 7PH","R1 Use principally as a fuel or other means to generate energy"
"15","NRW","WR182008110","EfW","S","Marlin Industries (Wrexham) Ltd","2831738","Active","01/01/2018","01/01/2018","Accredited Reprocessors","Davy Way WREXHAM WREXHAM LL12 0PG","R1 Use principally as a fuel or other means to generate energy"
