Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Imports","France",9267,853,655
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","France",5337,790,364
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Imports","Netherlands",37,3,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Netherlands",23351,5240,2190
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Imports","Germany",98463,7134,15322
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Germany",275,13,8
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Imports","Italy",589965,90244,52106
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Italy",18960,2002,1321
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Imports","Ireland",2282,430,119
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Ireland",818575,78058,52600
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Portugal",4961,501,307
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Spain",3333,317,195
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Belgium",90978,13591,5917
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Iceland",1920,2400,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","Norway",3350,289,72
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Norway",26737,5491,2165
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"EU Exports","Austria",23,2,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","Switzerland",6363,30,44
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Switzerland",791,40,25
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Malta",12745,1695,909
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","Poland",1295,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Nigeria",2053,417,261
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Zimbabwe",1632,26,12
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","South Africa",424016,62030,127448
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","South Africa",12014,677,382
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Brazil",3421,680,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Israel",3644,425,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","Kuwait",4059,319,516
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","India",20525,6210,3002
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Singapore",8982,490,425
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","China",321459,71155,71404
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","South Korea",3532,165,104
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Exports","Japan",2147,33,41
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2002,"Non-EU Imports","Taiwan",9314,2216,7950
