Cn8,Hs2,Hs4,Hs6,Description,Year,Value,NetMass,SuppUnit,FlowType,Country
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1050,1,1,"EU Imports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,27487,1248,1255,"EU Exports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4861,626,34,"EU Imports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,6236,39,17,"EU Exports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,388644,12687,5287,"EU Imports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,138867,7197,2372,"EU Exports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,250852,17280,5169,"EU Imports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1848,4,4,"EU Exports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,38844,5449,2595,"EU Imports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,693473,53955,29642,"EU Exports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,8573,55,3,"EU Imports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,5447,67,10,"EU Exports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,930,45,5,"EU Exports","Greece"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4800,4,4,"EU Exports","Spain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,389186,32956,28228,"EU Imports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1077,207,551,"EU Imports","Luxembourg"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,32469,3002,1425,"Non-EU Exports","Iceland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4224,34,12,"Non-EU Exports","Norway"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4394,403,214,"EU Imports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,15768,1293,463,"EU Exports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,978,1,1,"EU Imports","Austria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,3881,3,3,"Non-EU Exports","Switzerland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2193,315,1,"Non-EU Exports","Gibraltar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,9410,94,10,"Non-EU Imports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2154,293,2,"Non-EU Exports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,6767,39,8,"EU Exports","Lithuania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,6993,2364,999,"EU Imports","Poland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,14988,494,425,"EU Exports","Poland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1048,9,4,"EU Imports","Czechia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2994,111,11,"EU Exports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,15480,179,9000,"Non-EU Exports","Ukraine"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4755,590,1,"Non-EU Imports","Mali"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,3158,396,1,"Non-EU Imports","Togo"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2601,198,1,"Non-EU Imports","Kenya"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4486,94,164,"Non-EU Imports","Madagascar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,30133,3900,459,"Non-EU Exports","Mauritius"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,24201,56,1,"Non-EU Exports","Zambia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,595076,52016,29430,"Non-EU Imports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,51203,636,535,"Non-EU Exports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,3100,227,1,"Non-EU Imports","Canada"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1976,148,244,"Non-EU Exports","Mexico"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4012,5,18,"Non-EU Exports","Bermuda"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2665,31,30,"Non-EU Imports","Peru"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1583,31,100,"Non-EU Exports","Brazil"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,3093,19,1,"Non-EU Exports","Jordan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,4845,68,5,"Non-EU Exports","Qatar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,3585,1676,300,"Non-EU Imports","UAE"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1640,26,1,"Non-EU Exports","UAE"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,25425,732,4,"Non-EU Imports","India"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,45101,4120,4120,"Non-EU Imports","Bangladesh"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,2831,15,70,"Non-EU Imports","Nepal"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,17626,245,483,"Non-EU Imports","Myanmar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,11050,4,1,"Non-EU Exports","Laos"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,21600,1538,1000,"Non-EU Imports","Vietnam"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,8136,287,2,"Non-EU Imports","Singapore"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,7838,10,4,"Non-EU Exports","Singapore"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,28268952,3285674,1866512,"Non-EU Imports","China"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,140857,4390,439,"Non-EU Exports","China"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,151698,15788,7506,"Non-EU Imports","South Korea"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,15200,910,5702,"Non-EU Imports","Taiwan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,1533,8,1,"Non-EU Exports","Taiwan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,96718,13101,8061,"Non-EU Imports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,97091,28,69,"Non-EU Exports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,7436,35,6,"Non-EU Exports","Macao"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,994,5,1,"Non-EU Exports","New Zealand"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2022,894,50,50,"Non-EU Imports","Marshall Islands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,22323,5855,0,"EU Imports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,21393,1792,0,"EU Exports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,3871,320,0,"EU Imports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,37000,5400,0,"EU Exports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,498583,77761,0,"EU Imports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,457074,48231,0,"EU Exports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,69357,23465,0,"EU Imports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,82472,6015,0,"EU Exports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,2733189,811313,0,"EU Imports","Ireland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,6163889,881324,0,"EU Exports","Ireland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,35972,3871,0,"EU Imports","Denmark"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,13772,2279,0,"EU Imports","Greece"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,3568,90,0,"EU Exports","Portugal"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,0,0,0,"EU Imports","Spain"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,21313,66,0,"EU Exports","Spain"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,586942,58615,0,"EU Exports","Belgium"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,87584,9523,0,"EU Imports","Austria"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,66386,17053,0,"Non-EU Imports","Turkey"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,1456,4,0,"Non-EU Exports","Turkey"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,7894,230,0,"EU Imports","Romania"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,1771,38,0,"EU Exports","Romania"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,1910,4,0,"Non-EU Exports","Mauritius"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,307753,15123,0,"Non-EU Exports","United States"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,2283,36,0,"Non-EU Exports","Canada"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,5415,76,0,"Non-EU Exports","Chile"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,4648,5664,0,"Non-EU Exports","Falkland Islands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,4000,1185,0,"Non-EU Imports","China"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,2222949,232092,0,"Non-EU Imports","South Korea"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,10815,1267,0,"Non-EU Exports","South Korea"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,41604,10,0,"Non-EU Exports","Hong Kong"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2022,239381,18833,0,"Non-EU Exports","Australia"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,3505888,271777,0,"EU Imports","France"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,1586220,138291,0,"EU Exports","France"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,20429131,1540295,0,"EU Imports","Netherlands"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,1099227,117867,0,"EU Exports","Netherlands"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,61001828,3794060,0,"EU Imports","Germany"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,2380541,157556,0,"EU Exports","Germany"
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2022,36313691,3431270,0,"EU Imports","Italy"
