Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","France",1757,60,32
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","France",91,7,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Netherlands",1301,4,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Netherlands",1516,233,259
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Germany",462785,45170,72241
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Germany",962,82,679
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Italy",158,1,0
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Ireland",194390,26523,17968
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Ireland",983782,138893,84443
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Denmark",16131,90,30
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Greece",40105,8738,4821
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Portugal",35,38,27
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Spain",57,2,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Spain",232,9,45
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Belgium",1854,383,691
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Belgium",605,19,26
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Sweden",57,17,22
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Sweden",592,36,40
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Austria",98,5,13
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Switzerland",4333,98,296
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Gibraltar",1510,108,105
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Malta",6900,829,643
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Turkey",2320,15,5
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Estonia",3,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Latvia",20,4,32
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Lithuania",112,8,24
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Poland",1663,880,911
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Czechia",158,114,79
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Imports","Hungary",6156,217,263
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Hungary",779,236,316
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Romania",327,775,472
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Bulgaria",316,25,226
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Slovenia",129,4,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Egypt",8771,56,2002
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Sierra Leone",6312,538,478
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Nigeria",8917,346,144
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","United States",20293,669,905
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","United States",21249,486,154
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Canada",33840,1214,6270
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Colombia",8713,147,231
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Peru",1652,33,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Brazil",5533,148,6730
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Paraguay",1957,50,20
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Uruguay",36299,460,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"EU Exports","Cyprus",13523,627,1181
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Israel",3156,52,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Jordan",5055,147,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Saudi Arabia",7193,62,34
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Bahrain",2499,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Qatar",2152,17,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","UAE",11337,15,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Oman",4072,12,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","India",2462,28,408
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Sri Lanka",1560,9,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Singapore",1115,62,71
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Singapore",1192,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","China",7931737,1637065,862264
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Japan",9903,28,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Japan",23620,113,328
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Taiwan",988972,152967,102192
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Imports","Hong Kong",646649,115404,87080
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Hong Kong",4000,15,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2012,"Non-EU Exports","Australia",5737,14,134
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","France",1595205,575977,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","France",780951,35881,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Netherlands",6322897,740353,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Netherlands",40384,1195,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Germany",1863959,263764,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Germany",3037169,94074,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Italy",298027,125585,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Italy",786108,47823,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Ireland",1257629,395007,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Ireland",3417114,372344,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Denmark",5563,1010,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Spain",76825,4092,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Belgium",157502,1960,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Belgium",47827,1909,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"Non-EU Exports","Norway",51799,4395,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Austria",1505162,173561,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Exports","Austria",2318,1010,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"Non-EU Imports","Switzerland",44159,6202,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"Non-EU Exports","Switzerland",1887,394,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"Non-EU Imports","Turkey",3793144,477559,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2012,"EU Imports","Poland",249438,63243,0
