Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","France",3243145,13973,18751
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","France",3977506,6540,61032
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Netherlands",327461,2525,8224
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Netherlands",6712023,22224,26707
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Germany",7069931,15099,12699
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Germany",11238596,10187,361238
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Italy",2149397,1436,3063
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Italy",1872240,4740,919
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Ireland",60598,928,1819
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Ireland",1378863,16916,12217
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Denmark",1089552,464,177
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Denmark",2072084,3003,553
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Greece",354,3,2
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Greece",345005,3003,345
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Portugal",5465,7,3
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Portugal",198493,624,144
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Spain",245098,4790,45407
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Spain",3757163,9733,2746
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Belgium",99798,1100,256
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Belgium",1686895,13524,2912087
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Luxembourg",1125,23,16
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Luxembourg",164827,158,9
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Iceland",4737057,9214,67133
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Imports","Norway",5908857,5987,14517
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Norway",744038,3006,615
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Sweden",9249,104,17
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Sweden",2128358,1877,2421
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Finland",43589,14,4
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Finland",395729,1653,458
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Austria",821912,10876,18976
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Austria",148780,685,632
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Imports","Switzerland",848418,9697,6079
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Switzerland",1038978,1049,43935
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Faroe Islands",11212,36,8
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Gibraltar",13896,117,24
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Malta",78,1,1
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Malta",37429,166,34
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Imports","Turkey",72528,104,10
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"Non-EU Exports","Turkey",1249783,4786,670
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Estonia",33064,79,35
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Latvia",126383,465,188
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Lithuania",163724,326,60
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Poland",286467,827,6018
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Poland",282709,2142,400
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Czechia",11120,71,81
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Czechia",151349,254,792
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Slovakia",425401,9184,6174
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Slovakia",32813,175,559
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Hungary",6482,20,20
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Hungary",1579627,4111,339
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Romania",2919,12,13
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Exports","Romania",128476,1225,1920
"85256000","85","8525","852560","Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",2021,"EU Imports","Bulgaria",20,1,1
