Cn8,Hs2,Hs4,Hs6,Description,Year,Value,NetMass,SuppUnit,FlowType,Country
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,442,4,4,"EU Imports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,84912,20003,10011,"EU Exports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3538,145,648,"EU Exports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,423025,7116,77365,"EU Imports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1059,26,260,"EU Exports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,9858,275,22,"EU Imports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,34408,2963,1517,"EU Imports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1326054,230078,134970,"EU Exports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,19117,82,19,"EU Imports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1968,487,333,"EU Exports","Greece"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,60,2,3,"EU Exports","Portugal"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5600,289,592,"EU Exports","Spain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1382,148,199,"EU Imports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,361,14,17,"EU Exports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1248,1200,2,"Non-EU Exports","Iceland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3389,29,20,"Non-EU Exports","Norway"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,2571,155,160,"EU Imports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,849,37,50,"EU Exports","Sweden"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,129,7,10,"EU Exports","Austria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,4174,403,660,"Non-EU Imports","Switzerland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5073,31,42,"Non-EU Exports","Switzerland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1041,102,75,"Non-EU Exports","Gibraltar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1525,153,80,"EU Exports","Malta"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1252,15,1,"Non-EU Imports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,29,1,1,"EU Exports","Estonia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1,1,1,"EU Exports","Latvia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,114,9,63,"EU Exports","Lithuania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,497,42,339,"EU Exports","Poland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,70,8,54,"EU Exports","Czechia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,285,27,236,"EU Exports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,175,15,118,"EU Exports","Bulgaria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1240,14,20,"Non-EU Exports","Russia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1363,4,1,"Non-EU Exports","Kazakhstan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,77,3,3,"EU Exports","Slovenia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,2693,9,1,"Non-EU Exports","Serbia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5982,406,650,"Non-EU Exports","Ghana"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,890,0,1,"Non-EU Exports","Congo (Dem. Rep)"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,870,7,2,"Non-EU Exports","Mauritius"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3179,30,1,"Non-EU Exports","South Africa"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,32877,682,1727,"Non-EU Imports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,24861,196,190,"Non-EU Exports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,19763,898,3750,"Non-EU Exports","Canada"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5288,64,31,"Non-EU Exports","Colombia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3303,210,243,"EU Exports","Cyprus"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1280,39,1,"Non-EU Exports","Jordan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5456,89,5,"Non-EU Exports","Saudi Arabia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,6276,1,255,"Non-EU Exports","UAE"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,4812,1204,1334,"Non-EU Imports","Nepal"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1600,30,2,"Non-EU Exports","Thailand"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,1401,13,2,"Non-EU Exports","Singapore"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,7924678,1877294,956047,"Non-EU Imports","China"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,23152,4685,2665,"Non-EU Exports","China"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,19109,135,998,"Non-EU Exports","Japan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3087888,429601,267102,"Non-EU Imports","Taiwan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,5358,35,34,"Non-EU Exports","Taiwan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,899330,164178,103709,"Non-EU Imports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3859,31,552,"Non-EU Exports","Hong Kong"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,31555,624,826,"Non-EU Exports","Australia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2011,3243,11,36,"Non-EU Exports","New Zealand"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,1681225,623338,0,"EU Imports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,502898,22033,0,"EU Exports","France"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,7851648,915834,0,"EU Imports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,193618,7708,0,"EU Exports","Netherlands"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,1001733,159601,0,"EU Imports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,1422785,43754,0,"EU Exports","Germany"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,599987,269758,0,"EU Imports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,568642,29099,0,"EU Exports","Italy"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,1737821,427172,0,"EU Imports","Ireland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,5007926,598155,0,"EU Exports","Ireland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,114251,6346,0,"EU Exports","Spain"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,15388,534,0,"EU Exports","Belgium"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,144239,13130,0,"Non-EU Exports","Norway"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,1493237,147100,0,"EU Imports","Austria"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,14559,598,0,"Non-EU Exports","Switzerland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,4993109,783821,0,"Non-EU Imports","Turkey"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,256712,62272,0,"EU Imports","Poland"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,64365,2920,0,"EU Exports","Czechia"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,72624,5731,0,"Non-EU Exports","Ukraine"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,15615,2570,0,"Non-EU Exports","Nigeria"
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2011,22617,673,0,"Non-EU Exports","Angola"
