Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","France",4563,191,832
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","France",5287,1172,517
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Netherlands",40,3,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Netherlands",5011,849,363
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Germany",159097,22313,19363
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Germany",2157,184,59
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Italy",309950,51016,29252
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Italy",94425,20738,5437
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Ireland",27637,5428,1852
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Ireland",1096057,130737,72357
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Denmark",290,35,10
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Portugal",34429,3576,3576
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Portugal",44388,16836,2051
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Spain",859,9,0
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Spain",9857,905,560
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Belgium",113,1,0
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Belgium",26266,5225,2090
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Iceland",2159,313,196
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Norway",40165,17864,11166
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Imports","Sweden",3126,14,0
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Sweden",112,6,5
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Finland",408,57,17
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Liechtenstein",4429,24980,15613
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"EU Exports","Austria",407,38,13
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Switzerland",1135,5,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Malta",8382,996,614
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Estonia",7413,27900,17438
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Lithuania",81165,291351,182113
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Czechia",13121,15575,9735
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Hungary",900,1000,625
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Romania",3901,438,276
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Ukraine",74206,209852,131252
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2000,"Non-EU Exports","Belarus",1574,104,104
