Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","France",2742,206,216
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","France",43836,3151,1620
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Netherlands",6068,1688,490
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Netherlands",6814,430,257
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Germany",660230,14841,13811
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Germany",104983,7009,5144
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Italy",2727,223,145
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Italy",13677,863,452
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Ireland",36508,2915,1827
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Ireland",939638,69811,51962
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Denmark",13203,39,48
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Denmark",2128,282,162
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Greece",890,70,34
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Portugal",75,6,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Portugal",6343,532,278
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Spain",7909,372,452
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Spain",37401,2139,1433
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Belgium",8471,358,196
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Luxembourg",1119,68,42
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Iceland",11392,899,451
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Norway",7617,22,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Sweden",6124,50,101
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Sweden",344,32,19
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Finland",303,54,24
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Austria",5767,321,218
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Switzerland",1260,2,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Malta",2160,167,77
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Estonia",129,10,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Latvia",342,25,17
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Lithuania",126,11,6
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Poland",2022,183,142
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Poland",1726,367,238
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Czechia",393,50,33
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Czechia",14269,557,639
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Slovakia",351,39,26
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Slovakia",353,51,31
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Hungary",320,18,24
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Hungary",1074,417,64
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Romania",1025,148,90
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Bulgaria",66,3,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Bulgaria",514,130,66
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Russia",932,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Slovenia",284,25,13
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Croatia",235,15,10
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Mauritius",1754,21,40
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Zambia",1075,57,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","United States",245260,13962,9308
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","United States",90847,1449,5729
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Canada",20868,912,1856
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","Mexico",940,73,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Colombia",15218,172,78
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Imports","Cyprus",22,2,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"EU Exports","Cyprus",2899,228,154
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Israel",2653,62,56
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","Saudi Arabia",13710,1260,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Saudi Arabia",6181,19,28
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Qatar",12903,38,11
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","UAE",3614,284,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","UAE",5896,17,4
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Oman",4325,11,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","India",10505,436,10081
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","India",2865,63,33
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Cambodia",1042,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Indonesia",1363,24,109
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","Singapore",34886,3396,2006
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Singapore",2925,2,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","China",12240028,1925062,1082040
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","South Korea",4350,8,6
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","Japan",7980,262,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Japan",12387,291,11363
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Taiwan",1287,1160,50
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Imports","Hong Kong",20517,2878,1996
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Hong Kong",25597,28,21
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Macao",1267,0,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2020,"Non-EU Exports","Australia",5734,349,5
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","France",672042,52073,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","France",182903,11167,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Netherlands",394200,54161,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","Germany",1041052,169608,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Germany",197574,25143,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","Italy",39876,18225,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Italy",71167,7241,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","Ireland",2583391,736739,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Ireland",8872260,1031981,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Portugal",39924,6215,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","Spain",10722,4850,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Spain",155387,15855,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Belgium",708421,36076,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Norway",2150,925,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Poland",136631,10582,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Czechia",25159,1680,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Burkina",1833,40,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Nigeria",6013,155,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Uganda",7533,7136,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Tanzania",3500,3765,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","United States",1823643,113826,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Imports","Canada",60785,7102,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Saudi Arabia",3070,254,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","Indonesia",3076,5,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Imports","South Korea",1588798,171720,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2020,"Non-EU Exports","South Korea",349402,55020,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","France",18772525,3101101,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","France",16875939,1197056,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Imports","Netherlands",19917075,1776190,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2020,"EU Exports","Netherlands",46887,6503,0
