Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","France",1669,109,101
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","France",1824,170,170
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Netherlands",4821,277,344
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Netherlands",8725,376,168
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Germany",109823,3432,2209
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Germany",206230,14428,5435
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Italy",699,49,52
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Italy",14642,131,33
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Ireland",29756,2944,2393
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Ireland",870181,448842,268739
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Denmark",44,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Denmark",1974,19,5
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Portugal",0,0,0
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Spain",1274,72,83
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Spain",5037,75,6
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Belgium",185240,16905,23246
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Belgium",3879,13155,3869
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"Non-EU Exports","Iceland",11018,1020,450
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Imports","Sweden",219,12,22
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2021,"EU Exports","Sweden",1700,355,17
