Cn8,Hs2,Hs4,Hs6,Description,Year,Value,NetMass,SuppUnit,FlowType,Country
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1413,1,1,"EU Imports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1445,59,38,"EU Exports","France"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,8292,666,663,"EU Imports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,136,6,3,"EU Exports","Netherlands"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,268990,8765,5079,"EU Imports","Germany"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1064,3,4,"EU Imports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,699,3132,1163,"EU Exports","Italy"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,59898,4861,2662,"EU Imports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1018215,119909,73295,"EU Exports","Ireland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,35516,237,51,"EU Imports","Denmark"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1178,265,140,"EU Exports","Greece"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,213,9,5,"EU Exports","Portugal"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,165,7,4,"EU Imports","Spain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,3865,239,222,"EU Exports","Spain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,29,2,3,"EU Imports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,194,10,7,"EU Exports","Belgium"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,7071,98,483,"Non-EU Exports","Norway"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,709,10,12,"EU Imports","Austria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,40116,68,230,"Non-EU Exports","Switzerland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1882,230,362,"Non-EU Exports","Gibraltar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1099,154,97,"EU Exports","Malta"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,500,20000,50,"Non-EU Exports","Turkey"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,79,9,5,"EU Exports","Latvia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,6214,3655,3679,"EU Exports","Poland"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1851,93,57,"EU Exports","Czechia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,13794,1494,1809,"EU Exports","Slovakia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,30606,4411,2072,"EU Imports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,486,304,220,"EU Exports","Hungary"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,38,20,5,"EU Exports","Romania"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,19,13,11,"EU Exports","Bulgaria"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,3207,7,15,"Non-EU Exports","Azerbaijan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,2303,27,31,"Non-EU Exports","Kazakhstan"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,20000,15000,500,"Non-EU Exports","Sierra Leone"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,24161,26780,340,"Non-EU Exports","Ghana"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,2000,2000,151,"Non-EU Exports","Cameroon"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,900,28,4,"Non-EU Exports","Rwanda"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,55482,341,51,"Non-EU Imports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,95054,2969,10485,"Non-EU Exports","United States"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,23334,1095,4028,"Non-EU Exports","Canada"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,6808,282,1,"Non-EU Exports","Dominican Rep"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,10862,132,104,"Non-EU Exports","Colombia"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1181,25,10,"Non-EU Exports","Paraguay"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,47,2,1,"EU Imports","Cyprus"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,7993,685,601,"EU Exports","Cyprus"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,997,4,1,"Non-EU Imports","Israel"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,2526,50,56,"Non-EU Exports","Israel"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1197,11,1,"Non-EU Exports","Kuwait"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,6268,178,14,"Non-EU Exports","Bahrain"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,1423,1,1,"Non-EU Exports","Qatar"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,2898,18,3,"Non-EU Exports","UAE"
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2016,5327,62,3,"Non-EU Exports","Oman"
