Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","France",596,29,52
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","France",908,37,21
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Netherlands",5282,759,576
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Netherlands",1771,71,70
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Germany",241349,24792,24462
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Germany",977,92,72
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Italy",3613,7,9
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Italy",3616,7,9
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Ireland",59713,5859,2974
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Ireland",1197605,153237,104386
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Denmark",62107,347,128
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Greece",6528,1432,957
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Portugal",64,5,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Spain",286,106,70
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Belgium",2394,192,267
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Luxembourg",101,3,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"Non-EU Exports","Iceland",1584,1800,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Sweden",184,82,92
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Sweden",8006,1158,476
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Austria",184,15,8
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"Non-EU Exports","Switzerland",16301,314,2270
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Malta",2360,201,214
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"Non-EU Imports","Turkey",26053,3150,8595
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"Non-EU Exports","Turkey",821,27,13
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Latvia",59,5,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Lithuania",253,208,138
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Poland",2696,1778,1254
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Exports","Czechia",491,295,186
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2013,"EU Imports","Hungary",26522,1364,1185
