Cn8,Hs2,Hs4,Hs6,Description,Year,FlowType,Country,Value,NetMass,SuppUnit
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","France",1854,245,219
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","France",833,123,63
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Netherlands",3696,136,268
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Netherlands",3659,230,174
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Germany",161994,22357,35642
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Germany",223,17,13
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Italy",967239,104982,62331
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Ireland",63346,5016,2722
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Ireland",1121960,149963,106956
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Denmark",3363,209,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Greece",20,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Spain",80,4,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Belgium",380,15,20
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Iceland",1890,1800,3
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Norway",17113,2365,441
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Switzerland",1357,140,122
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Malta",818,62,56
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Latvia",28,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Lithuania",1183,77,51
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Poland",535,168,107
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Imports","Hungary",53,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Hungary",292,27,20
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Ukraine",750,55,10
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Moldova",829,30,30
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Congo (Republic)",1217,35,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Mauritius",2422,60,8
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","South Africa",28580,6556,1868
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","South Africa",777,1,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","United States",10015,93,39
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","United States",6400,235,4
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Canada",1260,20,69
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Barbados",614,6,1
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"EU Exports","Cyprus",2389,213,189
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Saudi Arabia",19993,240,328
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Qatar",2372,16,17
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","UAE",919,7,12
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","UAE",5939,35,32
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Oman",48934,488,237
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","India",1073,133,14
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Bangladesh",28198,10636,4200
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Nepal",7205,14,99
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Thailand",30175,3538,3024
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Vietnam",179016,47865,21868
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Vietnam",4197,74,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Malaysia",114422,58123,17897
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Malaysia",3817,40,8
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Singapore",4003,51,7
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","China",6972721,1732200,872485
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","South Korea",2827,15,2
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Japan",16217,576,1302
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Taiwan",1676289,340362,175384
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Hong Kong",1504742,247089,143320
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Hong Kong",1240,16,8
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Imports","Australia",765,0,6
"63011000","63","6301","630110","Electric blankets of all types of textile materials",2009,"Non-EU Exports","Australia",840,48,30
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","France",1515449,633097,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Netherlands",24268293,2127206,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Netherlands",230281,1570,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Germany",431687,81720,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Germany",19388,575,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Italy",406011,210757,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Italy",530021,33648,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Ireland",1319457,240532,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Ireland",5000269,563711,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Spain",6229,480,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Belgium",6855,1891,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Iceland",711,8,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Imports","Norway",862,5,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Norway",109628,13125,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Sweden",21689,6505,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Austria",2024240,275536,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Switzerland",10398,1417,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Malta",14009,4,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Imports","Turkey",4283385,906187,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Turkey",1161,3,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Poland",142813,6864,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Czechia",23526,9000,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Czechia",115974,6624,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Libya",605,9,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Egypt",10835,2022,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Nigeria",1743,17,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","United States",96156,616,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Falkland Islands",3147,495,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Iraq",82147,2829,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Saudi Arabia",186360,29957,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","UAE",109550,12796,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","India",730,1,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Sri Lanka",1558,150,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","Singapore",25800,334,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Imports","South Korea",2574,380,0
"84031010","84","8403","840310","Central heating boilers, non-electric, of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)",2009,"Non-EU Exports","New Zealand",10443,980,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","France",4206893,577330,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","France",1566,56,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Netherlands",6493299,430149,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Netherlands",5601,40,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Germany",21615771,2340119,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Germany",4568186,519003,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Italy",65963573,8317307,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Italy",777168,89102,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Ireland",28141500,4540171,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Ireland",11823327,1279292,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Denmark",18290,5773,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Greece",99339,9650,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Spain",664057,58674,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Spain",478380,94525,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Imports","Belgium",2401870,306215,0
"84031090","84","8403","840310","Central heating boilers, non-electric (excl. of cast iron, and vapour generating boilers and superheated water boilers of heading 8402)",2009,"EU Exports","Belgium",2878,120,0
