year,source,target,material,value,data_source_id,product
2023,pp,Placed on the market,PP,395135.03123498324,0047_0038,Packaging
2023,ps,Placed on the market,PS,51020.18260451706,0047_0038,Packaging
2023,pvc,Placed on the market,PVC,9769.822200864968,0047_0038,Packaging
2014,Placed on the market,Consumer,HDPE,396368.46480067854,0047_0038,Packaging
2014,Placed on the market,Consumer,LDPE,134633.46904156066,0047_0038,Packaging
2014,Placed on the market,Consumer,Other,17888.36301950806,0047_0038,Packaging
2014,Placed on the market,Consumer,PE,25420.30534351145,0047_0038,Packaging
2014,Placed on the market,Consumer,PET,536650.8905852418,0047_0038,Packaging
2014,Placed on the market,Consumer,PP,271149.9236641221,0047_0038,Packaging
2014,Placed on the market,Consumer,PS,34835.233248515695,0047_0038,Packaging
2014,Placed on the market,Consumer,PVC,22595.826972010178,0047_0038,Packaging
2014,Placed on the market,Non-consumer,HDPE,235373.19762510606,0047_0038,Packaging
2014,Placed on the market,Non-consumer,LDPE,230665.7336726039,0047_0038,Packaging
2014,Placed on the market,Non-consumer,Other,1882.9855810008482,0047_0038,Packaging
2014,Placed on the market,Non-consumer,PE,84734.35114503816,0047_0038,Packaging
2014,Placed on the market,Non-consumer,PET,105447.1925360475,0047_0038,Packaging
2014,Placed on the market,Non-consumer,PP,96973.75742154368,0047_0038,Packaging
2014,Placed on the market,Non-consumer,PS,24478.812553011023,0047_0038,Packaging
2014,Placed on the market,Non-consumer,PVC,941.4927905004241,0047_0038,Packaging
2015,Placed on the market,Consumer,HDPE,403502.9686174725,0047_0038,Packaging
2015,Placed on the market,Consumer,LDPE,137056.82782018662,0047_0038,Packaging
2015,Placed on the market,Consumer,Other,18210.347752332487,0047_0038,Packaging
2015,Placed on the market,Consumer,PE,25877.862595419843,0047_0038,Packaging
2015,Placed on the market,Consumer,PET,546310.4325699746,0047_0038,Packaging
2015,Placed on the market,Consumer,PP,276030.53435114503,0047_0038,Packaging
2015,Placed on the market,Consumer,PS,35462.25614927905,0047_0038,Packaging
2015,Placed on the market,Consumer,PVC,23002.544529262086,0047_0038,Packaging
2015,Placed on the market,Non-consumer,HDPE,239609.83884648007,0047_0038,Packaging
2015,Placed on the market,Non-consumer,LDPE,234817.64206955046,0047_0038,Packaging
2015,Placed on the market,Non-consumer,Other,1916.8787107718406,0047_0038,Packaging
2015,Placed on the market,Non-consumer,PE,86259.54198473283,0047_0038,Packaging
2015,Placed on the market,Non-consumer,PET,107345.20780322306,0047_0038,Packaging
2015,Placed on the market,Non-consumer,PP,98719.25360474979,0047_0038,Packaging
2015,Placed on the market,Non-consumer,PS,24919.423240033924,0047_0038,Packaging
2015,Placed on the market,Non-consumer,PVC,958.4393553859203,0047_0038,Packaging
2016,Placed on the market,Consumer,HDPE,403502.9686174725,0047_0038,Packaging
2016,Placed on the market,Consumer,LDPE,137056.82782018662,0047_0038,Packaging
2016,Placed on the market,Consumer,Other,18210.347752332487,0047_0038,Packaging
2016,Placed on the market,Consumer,PE,25877.862595419843,0047_0038,Packaging
2016,Placed on the market,Consumer,PET,546310.4325699746,0047_0038,Packaging
2016,Placed on the market,Consumer,PP,276030.53435114503,0047_0038,Packaging
2016,Placed on the market,Consumer,PS,35462.25614927905,0047_0038,Packaging
2016,Placed on the market,Consumer,PVC,23002.544529262086,0047_0038,Packaging
2016,Placed on the market,Non-consumer,HDPE,239609.83884648007,0047_0038,Packaging
2016,Placed on the market,Non-consumer,LDPE,234817.64206955046,0047_0038,Packaging
2016,Placed on the market,Non-consumer,Other,1916.8787107718406,0047_0038,Packaging
2016,Placed on the market,Non-consumer,PE,86259.54198473283,0047_0038,Packaging
2016,Placed on the market,Non-consumer,PET,107345.20780322306,0047_0038,Packaging
2016,Placed on the market,Non-consumer,PP,98719.25360474979,0047_0038,Packaging
2016,Placed on the market,Non-consumer,PS,24919.423240033924,0047_0038,Packaging
2016,Placed on the market,Non-consumer,PVC,958.4393553859203,0047_0038,Packaging
2017,Placed on the market,Consumer,HDPE,403502.9686174725,0047_0038,Packaging
2017,Placed on the market,Consumer,LDPE,137056.82782018662,0047_0038,Packaging
2017,Placed on the market,Consumer,Other,18210.347752332487,0047_0038,Packaging
2017,Placed on the market,Consumer,PE,25877.862595419843,0047_0038,Packaging
2017,Placed on the market,Consumer,PET,546310.4325699746,0047_0038,Packaging
2017,Placed on the market,Consumer,PP,276030.53435114503,0047_0038,Packaging
2017,Placed on the market,Consumer,PS,35462.25614927905,0047_0038,Packaging
2017,Placed on the market,Consumer,PVC,23002.544529262086,0047_0038,Packaging
2017,Placed on the market,Non-consumer,HDPE,239609.83884648007,0047_0038,Packaging
2017,Placed on the market,Non-consumer,LDPE,234817.64206955046,0047_0038,Packaging
2017,Placed on the market,Non-consumer,Other,1916.8787107718406,0047_0038,Packaging
2017,Placed on the market,Non-consumer,PE,86259.54198473283,0047_0038,Packaging
2017,Placed on the market,Non-consumer,PET,107345.20780322306,0047_0038,Packaging
2017,Placed on the market,Non-consumer,PP,98719.25360474979,0047_0038,Packaging
2017,Placed on the market,Non-consumer,PS,24919.423240033924,0047_0038,Packaging
2017,Placed on the market,Non-consumer,PVC,958.4393553859203,0047_0038,Packaging
2018,Placed on the market,Consumer,HDPE,385707.9207920791,0047_0038,Packaging
2018,Placed on the market,Consumer,LDPE,135683.81403357728,0047_0038,Packaging
2018,Placed on the market,Consumer,Other,36588.89367197589,0047_0038,Packaging
2018,Placed on the market,Consumer,PE,26425.31209642703,0047_0038,Packaging
2018,Placed on the market,Consumer,PET,594061.3430908308,0047_0038,Packaging
2018,Placed on the market,Consumer,PP,281531.2096427034,0047_0038,Packaging
2018,Placed on the market,Consumer,PS,36080.71459319845,0047_0038,Packaging
2018,Placed on the market,Consumer,PVC,15753.551442100732,0047_0038,Packaging
2018,Placed on the market,Non-consumer,HDPE,272383.9862247094,0047_0038,Packaging
2018,Placed on the market,Non-consumer,LDPE,240876.88334050795,0047_0038,Packaging
2018,Placed on the market,Non-consumer,Other,4065.4326302195436,0047_0038,Packaging
2018,Placed on the market,Non-consumer,PE,92488.59233749463,0047_0038,Packaging
2018,Placed on the market,Non-consumer,PET,113323.93456736978,0047_0038,Packaging
2018,Placed on the market,Non-consumer,PP,99603.09944037882,0047_0038,Packaging
2018,Placed on the market,Non-consumer,PS,25408.953938872146,0047_0038,Packaging
2018,Placed on the market,Non-consumer,PVC,1016.3581575548859,0047_0038,Packaging
2019,Placed on the market,Consumer,HDPE,365181.8181818182,0047_0038,Packaging
2019,Placed on the market,Consumer,LDPE,133972.02797202798,0047_0038,Packaging
2019,Placed on the market,Consumer,Other,57262.23776223776,0047_0038,Packaging
2019,Placed on the market,Consumer,PE,27010.48951048951,0047_0038,Packaging
2019,Placed on the market,Consumer,PET,647171.3286713287,0047_0038,Packaging
2019,Placed on the market,Consumer,PP,287391.60839160834,0047_0038,Packaging
2019,Placed on the market,Consumer,PS,36734.26573426573,0047_0038,Packaging
2019,Placed on the market,Consumer,PVC,7562.937062937062,0047_0038,Packaging
2019,Placed on the market,Non-consumer,HDPE,309000,0047_0038,Packaging
2019,Placed on the market,Non-consumer,LDPE,247416.0839160839,0047_0038,Packaging
2019,Placed on the market,Non-consumer,Other,6482.517482517483,0047_0038,Packaging
2019,Placed on the market,Non-consumer,PE,99398.6013986014,0047_0038,Packaging
2019,Placed on the market,Non-consumer,PET,119926.57342657342,0047_0038,Packaging
2019,Placed on the market,Non-consumer,PP,100479.02097902098,0047_0038,Packaging
2019,Placed on the market,Non-consumer,PS,25930.06993006993,0047_0038,Packaging
2019,Placed on the market,Non-consumer,PVC,1080.4195804195804,0047_0038,Packaging
2020,Placed on the market,Consumer,HDPE,351466.2720213002,0047_0038,Packaging
2020,Placed on the market,Consumer,LDPE,132628.78189483026,0047_0038,Packaging
2020,Placed on the market,Consumer,Other,50288.41313512314,0047_0038,Packaging
2020,Placed on the market,Consumer,PE,44762.21388950522,0047_0038,Packaging
2020,Placed on the market,Consumer,PET,639381.2527179943,0047_0038,Packaging
2020,Placed on the market,Consumer,PP,336545.5340581318,0047_0038,Packaging
2020,Placed on the market,Consumer,PS,31499.33570002219,0047_0038,Packaging
2020,Placed on the market,Consumer,PVC,7736.678943865098,0047_0038,Packaging
2020,Placed on the market,Non-consumer,HDPE,297309.5194142445,0047_0038,Packaging
2020,Placed on the market,Non-consumer,LDPE,248678.96605280673,0047_0038,Packaging
2020,Placed on the market,Non-consumer,Other,4973.579321056135,0047_0038,Packaging
