"","year","variable","material","application","material1","type","forecast_type","method","exogenous_factor","value"
"1",2014,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",150.63884648
"2",2015,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"3",2016,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"4",2017,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",153.35029688
"5",2018,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",121.96297892
"6",2019,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",86.43356644
"7",2020,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",198.94317284
"8",2021,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",317.26940064
"9",2022,"littering","PS","Other","Plastic","Outturn","NULL","NULL","NULL",560.980298
"10",2023,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",607.8801648
"11",2024,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",611.5761428
"12",2025,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",614.583576
"13",2026,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",616.8920164
"14",2027,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",618.4863764
"15",2028,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",619.9855984
"16",2029,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",621.3892104
"17",2030,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",622.6987668
"18",2031,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",623.9175608
"19",2032,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",625.0467592
"20",2033,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",626.0895728
"21",2034,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",627.0518064
"22",2035,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",627.9496864
"23",2036,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",628.800396
"24",2037,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",629.6110912
"25",2038,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",630.3867036
"26",2039,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",631.1300976
"27",2040,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",631.8379444
"28",2041,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",632.506242
"29",2042,"littering","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",633.1348304
"30",2014,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570
"31",2015,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570.544671203446
"32",2016,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",570.360046928445
"33",2017,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",572.282515564481
"34",2018,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",622.514725935314
"35",2019,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",491.952268871953
"36",2020,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",393.233463140477
"37",2021,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",1002.69309862394
"38",2022,"Mechanical recycling","PS","Other","Plastic","Outturn","NULL","NULL","NULL",2171.03528241777
"39",2023,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4213.00944891839
"40",2024,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4134.89443309744
"41",2025,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4160.03504426063
"42",2026,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4180.49206772789
"43",2027,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4196.19443459527
"44",2028,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4207.03951668563
"45",2029,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4217.23745545834
"46",2030,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4226.78504029677
"47",2031,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4235.69284446895
"48",2032,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4243.98326882808
"49",2033,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4251.66425012735
"50",2034,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4258.75762872248
"51",2035,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4265.30288975643
"52",2036,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4271.41040769924
"53",2037,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4277.19706532176
"54",2038,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4282.71153883731
"55",2039,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4287.98737374806
"56",2040,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4293.04405414363
"57",2041,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4297.85893701411
"58",2042,"Mechanical recycling","PS","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",4302.40480013962
"59",2014,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283
"60",2015,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283.7255102835
"61",2016,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1283.31010536584
"62",2017,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1287.63565979617
"63",2018,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",1400.65813311089
"64",2019,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",983.90453758256
"65",2020,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",589.850194619724
"66",2021,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",557.051721502543
"67",2022,"Mechanical recycling","PVC","Film","Plastic","Outturn","NULL","NULL","NULL",620.295795093811
"68",2023,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2592.62119901088
"69",2024,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2544.55041971884
"70",2025,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2560.02156641046
"71",2026,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2572.61050336367
"72",2027,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2582.27349789853
"73",2028,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2588.94739473695
"74",2029,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2595.22304913609
"75",2030,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2601.09848711087
"76",2031,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2606.58021206461
"77",2032,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2611.68201114699
"78",2033,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2616.40877020911
"79",2034,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2620.77392513745
"80",2035,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2624.80177839537
"81",2036,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2628.5602503058
"82",2037,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2632.12127119746
"83",2038,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2635.51479313065
"84",2039,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2638.76146064246
"85",2040,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2641.87326348142
"86",2041,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2644.83626865968
"87",2042,"Mechanical recycling","PVC","Film","Plastic","Projection","linear model, time-series components","Ratio-based","Population",2647.63372247217
"88",2014,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",427.821
"89",2015,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",427.908503478335
"90",2016,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",427.770035121947
"91",2017,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",429.211886598724
"92",2018,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",466.886044370297
"93",2019,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",327.968179194187
"94",2020,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",196.616731479247
"95",2021,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",445.641377121393
"96",2022,"Mechanical recycling","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",930.443692503859
"97",2023,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",324.07764980126
"98",2024,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",318.068802566887
"99",2025,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",320.002695733286
"100",2026,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",321.576312818426
"101",2027,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",322.784187339349
"102",2028,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",323.618424444152
"103",2029,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",324.402881210033
"104",2030,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",325.137310854849
"105",2031,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",325.822526644119
"106",2032,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",326.460251427384
"107",2033,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",327.05109631015
"108",2034,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",327.596740608171
"109",2035,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",328.100222435464
"110",2036,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",328.570031152183
"111",2037,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",329.015158933694
"112",2038,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",329.439349141332
"113",2039,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",329.845182512286
"114",2040,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",330.234157969189
"115",2041,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",330.60453361647
"116",2042,"Mechanical recycling","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",330.954215206988
"117",2014,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",112.97913488
"118",2015,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",115.01272264
"119",2016,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",115.01272264
"120",2017,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",115.01272264
"121",2018,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",81.3086526
"122",2019,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",43.2167832
"123",2020,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",88.41918792
"124",2021,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",135.97260028
"125",2022,"littering","PVC","Other","Plastic","Outturn","NULL","NULL","NULL",43.1523306
"126",2023,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",46.76001268
"127",2024,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.04431868
"128",2025,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.27565968
"129",2026,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.45323204
"130",2027,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.57587512
"131",2028,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.69119988
"132",2029,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.79917004
"133",2030,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.89990516
"134",2031,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",47.99365852
"135",2032,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.08051996
"136",2033,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.16073636
"137",2034,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.23475436
"138",2035,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.303822
"139",2036,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.36926124
"140",2037,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.4316224
"141",2038,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.49128488
"142",2039,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.54846904
"143",2040,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.6029188
"144",2041,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.65432628
"145",2042,"littering","PVC","Other","Plastic","Projection","linear model, time-series components","Ratio-based","Population",48.70267924
"146",2014,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"147",2015,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"148",2016,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"149",2017,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"150",2018,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"151",2019,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"152",2020,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"153",2021,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"154",2022,"Mechanical recycling","PS","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"155",2023,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"156",2024,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"157",2025,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"158",2026,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"159",2027,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"160",2028,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"161",2029,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"162",2030,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"163",2031,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"164",2032,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"165",2033,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"166",2034,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"167",2035,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"168",2036,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"169",2037,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"170",2038,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"171",2039,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"172",2040,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"173",2041,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"174",2042,"Mechanical recycling","PS","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"175",2014,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"176",2015,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"177",2016,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"178",2017,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"179",2018,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"180",2019,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"181",2020,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",0
"182",2021,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",111.410355108288
"183",2022,"Mechanical recycling","PVC","Bottle","Plastic","Outturn","NULL","NULL","NULL",310.148130792605
"184",2023,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"185",2024,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"186",2025,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"187",2026,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"188",2027,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"189",2028,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"190",2029,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"191",2030,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"192",2031,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"193",2032,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"194",2033,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"195",2034,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"196",2035,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"197",2036,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"198",2037,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"199",2038,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"200",2039,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"201",2040,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"202",2041,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"203",2042,"Mechanical recycling","PVC","Bottle","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"204",2014,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1854
"205",2015,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1854.26827199695
"206",2016,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1853.66871866586
"207",2017,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1859.91722813109
"208",2018,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",2023.17186543969
"209",2019,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1393.86345094888
"210",2020,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",786.46804190518
"211",2021,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1002.69319589395
"212",2022,"Mechanical recycling","PVC","PTT","Plastic","Outturn","NULL","NULL","NULL",1550.74065423674
"213",2023,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"214",2024,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"215",2025,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"216",2026,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"217",2027,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"218",2028,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"219",2029,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"220",2030,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"221",2031,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"222",2032,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"223",2033,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"224",2034,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"225",2035,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"226",2036,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"227",2037,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"228",2038,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"229",2039,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"230",2040,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"231",2041,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"232",2042,"Mechanical recycling","PVC","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",0
"233",2014,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8130.26
"234",2015,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8130.26156487635
"235",2016,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8127.63066820964
"236",2017,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8155.0258462714
"237",2018,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8870.83484400991
"238",2019,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",8855.14083904977
"239",2020,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",10027.4533090813
"240",2021,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",9469.87926534164
"241",2022,"Mechanical recycling","PS","PTT","Plastic","Outturn","NULL","NULL","NULL",10545.0285152262
"242",2023,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11018.6400962469
"243",2024,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",10814.3392823766
"244",2025,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",10880.0916581968
"245",2026,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",10933.5946390915
"246",2027,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",10974.6623657286
"247",2028,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11003.0264278361
"248",2029,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11029.6979589644
"249",2030,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11054.6685706974
"250",2031,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11077.9659015467
"251",2032,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11099.6485479869
"252",2033,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11119.7372729126
"253",2034,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11138.2891817662
"254",2035,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11155.4075584524
"255",2036,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11171.3810646159
"256",2037,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11186.5154026572
"257",2038,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11200.9378708053
"258",2039,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11214.7362086827
"259",2040,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11227.9613698641
"260",2041,"Mechanical recycling","PS","PTT","Plastic","Projection","linear model, time-series components","Ratio-based","Population",11240.55414296
