variable,year,forecast_type,level,total,method,exogenous_factor,material1,application,material,domestic_production,net_imports,,
Placed on market,2015,,,12459.71162,,,Plastic,PTT,pvc,6229.85581,6229.85581,,
Placed on market,2016,,,464843.0874,,,Plastic,Bottle,hdpe,232421.5437,232421.5437,,
Placed on market,2016,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2016,,,0,,,Plastic,Bottle,other,0,0,,
Placed on market,2016,,,958.4393554,,,Plastic,Bottle,pe,479.2196777,479.2196777,,
Placed on market,2016,,,423630.1951,,,Plastic,Bottle,pet,211815.0975,211815.0975,,
Placed on market,2016,,,16293.46904,,,Plastic,Bottle,pp,8146.734521,8146.734521,,
Placed on market,2016,,,0,,,Plastic,Bottle,ps,0,0,,
Placed on market,2016,,,0,,,Plastic,Bottle,pvc,0,0,,
Placed on market,2016,,,93927.05683,,,Plastic,Film,hdpe,46963.52841,46963.52841,,
Placed on market,2016,,,348871.9254,,,Plastic,Film,ldpe,174435.9627,174435.9627,,
Placed on market,2016,,,18210.34775,,,Plastic,Film,other,9105.173876,9105.173876,,
Placed on market,2016,,,98719.2536,,,Plastic,Film,pe,49359.6268,49359.6268,,
Placed on market,2016,,,29711.62002,,,Plastic,Film,pet,14855.81001,14855.81001,,
Placed on market,2016,,,127472.4343,,,Plastic,Film,pp,63736.21713,63736.21713,,
Placed on market,2016,,,1916.878711,,,Plastic,Film,ps,958.4393554,958.4393554,,
Placed on market,2016,,,8625.954198,,,Plastic,Film,pvc,4312.977099,4312.977099,,
Placed on market,2016,,,59423.24003,,,Plastic,Other,hdpe,29711.62002,29711.62002,,
Placed on market,2016,,,22044.10517,,,Plastic,Other,ldpe,11022.05259,11022.05259,,
Placed on market,2016,,,0,,,Plastic,Other,other,0,0,,
Placed on market,2016,,,958.4393554,,,Plastic,Other,pe,479.2196777,479.2196777,,
Placed on market,2016,,,38337.57422,,,Plastic,Other,pet,19168.78711,19168.78711,,
Placed on market,2016,,,75716.70908,,,Plastic,Other,pp,37858.35454,37858.35454,,
Placed on market,2016,,,3833.757422,,,Plastic,Other,ps,1916.878711,1916.878711,,
Placed on market,2016,,,2875.318066,,,Plastic,Other,pvc,1437.659033,1437.659033,,
Placed on market,2016,,,24919.42324,,,Plastic,PTT,hdpe,12459.71162,12459.71162,,
Placed on market,2016,,,958.4393554,,,Plastic,PTT,ldpe,479.2196777,479.2196777,,
Placed on market,2016,,,1916.878711,,,Plastic,PTT,other,958.4393554,958.4393554,,
Placed on market,2016,,,11501.27226,,,Plastic,PTT,pe,5750.636132,5750.636132,,
Placed on market,2016,,,161976.2511,,,Plastic,PTT,pet,80988.12553,80988.12553,,
Placed on market,2016,,,155267.1756,,,Plastic,PTT,pp,77633.58779,77633.58779,,
Placed on market,2016,,,54631.04326,,,Plastic,PTT,ps,27315.52163,27315.52163,,
Placed on market,2016,,,12459.71162,,,Plastic,PTT,pvc,6229.85581,6229.85581,,
Placed on market,2017,,,464843.0874,,,Plastic,Bottle,hdpe,232421.5437,232421.5437,,
Placed on market,2017,,,0,,,Plastic,Bottle,ldpe,0,0,,
Placed on market,2017,,,0,,,Plastic,Bottle,other,0,0,,
Placed on market,2017,,,958.4393554,,,Plastic,Bottle,pe,479.2196777,479.2196777,,
Placed on market,2017,,,423630.1951,,,Plastic,Bottle,pet,211815.0975,211815.0975,,
Placed on market,2017,,,16293.46904,,,Plastic,Bottle,pp,8146.734521,8146.734521,,
